username,total_views,likes,total_comments,total_video_shares,total_engagements,median_views,median_likes,median_comments,median_video_shares
theonlyhaven,491.6M,60.0M,260.4K,952.7K,,36.4K,2.7K,15,25
turquoise.dec,149.1M,33.0M,61.6K,301.7K,,310.8K,36.2K,90,450
ttalgi.ellie,368.6K,39.3K,1.0K,532,,915,85,6,0
srsaskin_,196.8K,17.1K,1.9K,450,,1.3K,138,20,3
_anjello,127.4K,8.6K,4.2K,303,,413,55,28,0
jf.skin24,94.9K,6.1K,2.5K,234,,474,47,20,1
cinthia_dosamples,180.7K,9.8K,2.4K,570,,402,35,8,2
lee.ly1012,385.6K,6.3K,1.5K,488,,654,19,2,0
prettywrinkles,59.5K,3.9K,104,90,,704,86,4,1
xevelynluu,5.7M,674.5K,6.4K,16.7K,,2.0K,114,2,0
chloelouiseliveslife,7.9M,511.2K,11.0K,51.7K,,1.3K,72,3,1
melissahemmingsley,2.9M,597.3K,1.6K,1.1K,,532,43,0,0
skincare.ninja,97.1M,6.0M,39.7K,106.4K,,27.9K,1.1K,18,13
ugc_withjessi,99.4K,3.9K,321,59,,402,19,2,0
so.calmama,4.5M,136.0K,5.0K,6.4K,,380,19,0,0
jessicaroseugc,199.8K,18.6K,1.9K,118,,330,24,4,0
kayskwa,9.5M,1.8M,6.3K,27.9K,,3.4K,145,3,3
jennasiee,26.7M,8.5M,36.0K,114.8K,,9.0K,642,9,9
ugcxmichelle,76.1K,5.8K,1.6K,119,,431,42,10,1
autumnsaro,11.2M,2.1M,16.2K,24.1K,,9.1K,1.6K,32,15
tinaangelinaaa,9.8M,1.2M,11.7K,9.6K,,383,26,1,0
crystalschob3,130.1K,7.5K,121,123,,512,47,1,0
life.w.lex4,283.4K,22.9K,2.3K,367,,630,65,6,0
jensnomz,1.5M,57.3K,1.8K,6.8K,,949,48,2,1
srsdigitaldiary,2.3K,153,3,N/A,,1.2K,66,1,0
eloise_ugc,1.2M,69.5K,1.2K,2.4K,,1.5K,76,3,1
shellllls_lifeeee,391.4K,24.4K,3.1K,1.1K,,375,38,5,0
xokena_,86.5K,9.6K,2.0K,111,,463,82,15,0
mindfulugc,1.1M,38.8K,1.2K,1.1K,,1.1K,70,11,0
