username,total_likes
theonlyhaven,60.0M
turquoise.dec,33.1M
srsaskin_,17.1K
_anjello,8.6K
jf.skin24,6.1K
cinthia_dosamples,9.8K
xevelynluu,674.5K
chloelouiseliveslife,542.5K
melissahemmingsley,608.5K
skincare.ninja,6.0M
ugc_withjessi,3.9K
so.calmama,136.6K
jessicaroseugc,20.2K
kayskwa,1.8M
jennasiee,8.5M
ugcxmichelle,5.8K
autumnsaro,2.1M
tinaangelinaaa,1.2M
crystalschob3,7.5K
life.w.lex4,22.9K
jensnomz,57.9K
eloise_ugc,69.6K
shellllls_lifeeee,24.5K
xokena_,9.6K
mindfulugc,38.9K
nooni.ugc,210.3K
heyitsaliquinn,29.7K
glo.ssary,918.5K
pretty.squirrelss,3.7M
danielaapryl,69.1K
allbriwoo,266.4K
grw.alii_,19.6K
jilliangottlieb,18.4M
_taniagrover,413.3K
zhala.beauty,179.0K
skinbykristin,7.3M
lifewtamia,1.0M
toninlanaa,1.1M
ft.angela,198.3K
pinaydora,22.4K
yangmediary,15.3K
witandarte,6.4K
beautycloudlove,599.4K
auraofmahmuda,59.0K
vickyoffishal,2.5M
jeracoolio,197.6K
waves_for_dayzz,74.4K
jmeans77,7.2K
ouibutnon,17.4K
skincredibles,121.7K
_chicpick,15.7K
aroundtheplanetandback,11.4K
itsomalherself,5.1K
hannie.skin,132.7K
skin_with_zee,3.8K
bel1amur,23.5K
laurynslocs,1.1K
ksuuuushaxx,8.4M
loriebelle.ugc,153.3K
ugcwithsahar,2.4K
lindsaymae_,121.7K
allansgirl_,3.8K
upasanaarora,43
natik4s,11.1K
reviews_by_bee,4.1K
hushhalohue,2.1K
britnorman_,288.0K
lexlovesmakeup,3.4K
exquisiteexplorerig,17.6K
imjustagirl368,1.3M
xo.lolaenriquez.xo,4.2K
westclau_,1.8M
blossom5113,371.6K
itsugcgirl,291
its.mawii,4.8K
natik4s,11.1K
roselinni_,24.6K
bebethssi,341.4K
topnotchmarvellous,49.4K
rawanalani4,448.7K
torilatise,1.3M
neetimathur0,2.3K
etherealskinwithrinny,16.3K
megnugs2,92.3K
alotta_reviews,6.4K
addicted.to.skincare,1.4M
s.beauty.makeup12,17.3K
thiglossglow,2.7K
sydneychriistensen,1.2M
itsreal_lmb,1.5M
lovebirsu,150.4K
_dollylqve,61.2K
yunalome,582.1K
dyknicx,30.7K
vannahluv,189.4K
teresatpham,453.5K
cla.audia,1.0M
kimberly.cat,16.3M
regina_ugc_,192.6K
melii.mar_,13.6K
evesbeautylife,8.4K
urcreatorsophia,1.8K
louysasdiaries,158.6K
curly.qaya,26.0K
