username,total_videos
theonlyhaven,1.8K
turquoise.dec,188
srsaskin_,52
_anjello,153
jf.skin24,122
xevelynluu,16
chloelouiseliveslife,561
melissahemmingsley,1.2K
skincare.ninja,318
ugc_withjessi,148
so.calmama,1.3K
jessicaroseugc,429
kayskwa,697
jennasiee,89
ugcxmichelle,121
autumnsaro,288
tinaangelinaaa,2.5K
crystalschob3,50
life.w.lex4,315
jensnomz,395
srsdigitaldiary,3
eloise_ugc,53
shellllls_lifeeee,498
xokena_,106
mindfulugc,43
nooni.ugc,173
heyitsaliquinn,218
glo.ssary,1.3K
pretty.squirrelss,1.6K
danielaapryl,201
allbriwoo,202
grw.alii_,6
jilliangottlieb,3.0K
_taniagrover,1.6K
zhala.beauty,194
skinbykristin,1.9K
lifewtamia,242
toninlanaa,118
ft.angela,78
pinaydora,270
yangmediary,744
witandarte,198
auraofmahmuda,368
angelinajarboe,
waves_for_dayzz,174
jmeans77,183
ouibutnon,278
skincredibles,152
_chicpick,348
itsomalherself,249
hannie.skin,362
skin_with_zee,84
bel1amur,209
laurynslocs,15
ksuuuushaxx,17
loriebelle.ugc,205
ugcwithsahar,13
lindsaymae_,651
upasanaarora,3
natik4s,523
reviews_by_bee,58
hushhalohue,43
britnorman_,381
lexlovesmakeup,128
yepmanythings,200
imjustagirl368,782
xo.lolaenriquez.xo,115
westclau_,298
blossom5113,367
itsugcgirl,18
its.mawii,313
natik4s,523
roselinni_,287
bebethssi,477
topnotchmarvellous,1.3K
rawanalani4,1.3K
torilatise,1.2K
neetimathur0,38
etherealskinwithrinny,48
megnugs2,236
alotta_reviews,382
addicted.to.skincare,19
s.beauty.makeup12,275
thiglossglow,74
voguereview,281
sydneychriistensen,293
life.bynoeee,102
adriannamg12,209
itsreal_lmb,307
lovebirsu,84
_dollylqve,30
yunalome,250
dyknicx,177
teresatpham,235
cla.audia,1.5K
kimberly.cat,717
regina_ugc_,216
melii.mar_,96
evesbeautylife,97
urcreatorsophia,78
louysasdiaries,124
her.lifestyle.pri,332
curly.qaya,140
Hikarifleurr,2.2K
tatgiraldi ,79
jocy.cs ,124
sydnie_1209,105
itsfufumochii,62
chloemedeiros,105
paolainatl,82
happy.bluedino,179
ninislildiary,60
bythreewishes,45
xo.yokov,167
nakeziaa,468
teacuppuppycoco,1.7K
Thatbaileygal,1
sophie_bskin,78
itsbreeeva,320
rosaliebriere,363
thekimedit,424
thebeautymolecule,230
im.gis3lle,126
im.gis3lle,126
what_can_i_buy,293
Rosemarie.loves,431
nikkkaayy_,9
edli.ugc,172
yt.jichelleirish,130
sophia.cathyy,0
sailormina_,261
glowinthegram,66
ericaz_ugc,8
ugc_byivanna,89
ugc.by.iri,25
aeht.ugc,78
honest_recs,81
by_ashmariee,136
almostsimplysky,260
amirka08,332
tatiana.ptrnina,301
abigail.ugc.creator,6
trxlyadria,229
skinwsara,11
_janessam,160
ugcwithedwina,103
christineeugc,179
renlauskin,85
jelloskinsecrets,143
ugc_adriiana,51
skin_likee,134
luv4ikeuuu,245
fabulous.mira.skincare,63
skinbyhelen,749
ellasolves,4.2K
skinwithe1,410
joselinastyle,378
ishmadiaries,454
stanskincare,26
itshazeldiaries,515
skinwithclods,111
heartz4pitii,
mattrandon,2.4K
melon_park,
_lilyis,798
abbyrosemaureen,731
kiki.dee__,7
denitsab3auty,149
lilac__05,203
lovemisomeskin,161
ugcwithkpm,111
chen.ugc,68
aera.ugc,9
skincarewithxia_,205
skinhippie27,352
klea.sotiri,61
zahraxbeauty,117
sonuugrg_,257
anika_kozlova,483
itstessjohnson,274
looksbyhiba,416
itsmelissaga,292
zoe.aesthetic.grw,105
lifestylewithfatima,522
bosslady__carla,901
nizvetsbeautydiaries,625
hijabiskinfluencer,233
skincarepessimist,11
mottaskin,281
zwonylen,123
stephaniienini,298
glam._diaries,126
ugc.by.zainab,92
dearkisha_,260
nattylattie,85
liansloves,111
andie_sorto,651
melinamujer,135
hanahdewybae,1.8K
keirrawebster,2.2K
ugcbyjamie,105
badblory,1.1K
sya.skin,137
emileerachel,278
jhamheartsthis,298
aglimpseofglow,55
mariana.ugc,101
