username,median_views,median_comments,average_views,average_comments
theonlyhaven,17.6K,8.0,134.6K,32.0
turquoise.dec,117.8K,34.0,341.6K,153.0
ttalgi.ellie,932,5.0,4.3K,6.0
srsaskin_,1.1K,19.0,2.7K,28.0
_anjello,389,24.0,529,27.0
jf.skin24,484,20.0,561,22.0
cinthia_dosamples,424,9.0,780,11.0
lee.ly1012,1.3K,2.0,2.5K,6.0
prettywrinkles,704,4.0,2.6K,5.0
xevelynluu,,,,
chloelouiseliveslife,1.3K,4.0,14.6K,24.0
melissahemmingsley,496,3.0,4.0K,5.0
skincare.ninja,5.6K,5.0,183.4K,9.0
ugc_withjessi,428,2.0,532,3.0
so.calmama,406,1.0,4.7K,5.0
jessicaroseugc,318,6.0,839,7.0
kayskwa,3.0K,2.0,49.7K,18.0
jennasiee,9.3K,8.0,176.3K,111.0
ugcxmichelle,448,11.0,532,12.0
autumnsaro,5.9K,33.0,17.4K,47.0
tinaangelinaaa,388,2.0,2.1K,3.0
crystalschob3,512,1.0,2.6K,2.0
life.w.lex4,588,4.0,883,5.0
jensnomz,1.0K,2.0,4.3K,5.0
srsdigitaldiary,,,,
eloise_ugc,1.0K,2.0,1.3K,2.0
shellllls_lifeeee,392,7.0,502,9.0
xokena_,463,16.0,765,20.0
mindfulugc,394,9.0,395,10.0
nooni.ugc,1.3K,5.0,19.7K,20.0
heyitsaliquinn,454,5.0,454,5.0
glo.ssary,935,1.0,101.4K,4.0
pretty.squirrelss,893,1.0,1.9K,2.0
danielaapryl,1.6K,11.0,4.0K,14.0
allbriwoo,4.8K,8.0,20.4K,14.0
grw.alii_,814,6.0,5.5K,7.0
jilliangottlieb,13.9K,23.0,525.4K,65.0
zhala.beauty,884,9.0,5.7K,10.0
skinbykristin,31.2K,57.0,101.0K,96.0
lifewtamia,2.4K,20.0,6.4K,41.0
sunscreen.addict,385,1.0,4.8K,4.0
toninlanaa,698,4.0,51.3K,46.0
ft.angela,1.4K,2.0,1.5K,2.0
pinaydora,919,3.0,1.2K,5.0
yangmediary,292,4.0,375,4.0
d_dudley4,308,4.0,400,4.0
beauty__bymegs,429,17.0,485,17.0
beautycloudlove,1.4K,1.0,4.3K,2.0
psdiwan22,570,13.0,789,13.0
auraofmahmuda,773,4.0,5.9K,7.0
vickyoffishal,1.1K,3.0,23.8K,17.0
__allaboutskincare__,311,2.0,275,3.0
klymi.na,10.6K,5.0,19.9K,9.0
jeracoolio,2.5K,9.0,21.7K,26.0
razan.alani,1.8K,24.0,1.8K,25.0
angelinajarboe,9.6K,86.0,393.5K,119.0
waves_for_dayzz,11.0K,1.0,12.7K,2.0
jmeans77,294,1.0,415,2.0
carmelk1,223,2.0,223,2.0
ouibutnon,695,6.0,692,6.0
skincredibles,3.0K,26.0,12.2K,39.0
jamesslushie,352,1.0,7.4K,2.0
_chicpick,382,16.0,2.2K,19.0
aroundtheplanetandback,21.7K,2.0,24.5K,4.0
itsomalherself,224,2.0,282,3.0
skincarenotes,839,5.0,2.5K,9.0
hannie.skin,1.5K,5.0,6.4K,6.0
skin_with_zee,597,7.0,883,9.0
bel1amur,829,9.0,1.6K,12.0
laurynslocs,,,,
ksuuuushaxx,8.2K,4.0,767.0K,51.0
ugc_emma9,302,3.0,492,4.0
loriebelle.ugc,407,5.0,3.5K,8.0
ugcwithsahar,475,9.0,1.1K,15.0
lovinglynat,662,6.0,797,9.0
lindsaymae_,800,44.0,2.3K,47.0
glowwithhima,458,2.0,625,2.0
allansgirl_,437,5.0,830,5.0
upasanaarora,231,2.0,223,1.0
natik4s,354,4.0,517,4.0
reviews_by_bee,513,14.0,548,16.0
ugcwithjag,757,0.0,809,
hushhalohue,675,6.0,809,7.0
_just.livinggg_,648,2.0,572,2.0
glow.like.korea,,,,
britnorman_,2.1K,3.0,2.1K,7.0
lexlovesmakeup,357,6.0,3.3K,7.0
exquisiteexplorerig,675,3.0,597,5.0
yepmanythings,315,7.0,461,7.0
imjustagirl368,675,1.0,22.4K,31.0
xo.lolaenriquez.xo,583,2.0,670,2.0
westclau_,3.1K,5.0,112.9K,22.0
shannenbudihardjo,493,0.0,644,0.0
blossom5113,2.5K,6.0,4.4K,9.0
itsugcgirl,149,2.0,329,2.0
its.mawii,269,0.0,468,1.0
roselinni_,1.2K,6.0,3.9K,12.0
bebethssi,342,0.0,918,1.0
h.annahyu,442,1.0,607,2.0
topnotchmarvellous,296,0.0,380,2.0
rawanalani4,439,1.0,1.8K,3.0
torilatise,4.6K,14.0,32.9K,60.0
neetimathur0,675,3.0,675,3.0
ugc.fer,306,4.0,491,4.0
etherealskinwithrinny,6.6K,41.0,11.8K,41.0
glowithtay,,,,
skinwithhillaryy,2.0K,3.0,22.3K,11.0
megnugs2,1.6K,51.0,1.7K,46.0
alotta_reviews,178,1.0,390,2.0
addicted.to.skincare,29.4K,13.0,167.4K,54.0
beautycarebydrhind,1.6K,2.0,1.9K,3.0
s.beauty.makeup12,923,5.0,2.3K,6.0
thiglossglow,399,1.0,473,2.0
pocketlifestyle__,539,2.0,476,4.0
voguereview,393,7.0,3.6K,13.0
sydneychriistensen,840,4.0,5.8K,12.0
life.bynoeee,448,5.0,1.2K,8.0
quyen.la,512,1.0,798,2.0
jayanne.roller,1.1K,1.0,2.2K,1.0
adriannamg12,405,4.0,1.1K,5.0
itsreal_lmb,1.9K,7.0,20.7K,17.0
lovebirsu,1.2K,21.0,104.4K,34.0
clahh__,,,,
_dollylqve,2.1K,39.0,11.2K,78.0
yunalome,4.8K,7.0,17.2K,17.0
glowingskinmadie,863,0.0,5.7K,2.0
dyknicx,495,13.0,729,14.0
vannahluv,519,4.0,1.4K,5.0
teresatpham,2.1K,3.0,40.5K,20.0
cla.audia,393,1.0,4.6K,6.0
kimberly.cat,34.9K,100.0,211.7K,225.0
regina_ugc_,3.5K,16.0,30.3K,39.0
melii.mar_,620,4.0,1.8K,5.0
evesbeautylife,387,1.0,1.1K,3.0
urcreatorsophia,767,2.0,793,3.0
skincare_with_kylie,431,1.0,700,1.0
louysasdiaries,2.7K,38.0,4.0K,46.0
lisaameyy,787,3.0,949,4.0
her.lifestyle.pri,475,5.0,3.2K,8.0
curly.qaya,788,10.0,2.3K,13.0
Hikarifleurr,987,6.0,6.5K,11.0
tatgiraldi ,35.5K,21.0,66.8K,25.0
jocy.cs ,5.3K,6.0,1.2M,118.0
sydnie_1209,461,1.0,628,2.0
highimdalilah,749,6.0,1.2K,6.0
dearrruzzi,699,2.0,10.0K,9.0
itsfufumochii,999,25.0,4.4K,144.0
chloemedeiros,464,2.0,1.0K,3.0
paolainatl,1.3K,46.0,1.3K,47.0
happy.bluedino,913,2.0,2.5K,2.0
nghibui_i,1.9K,2.0,12.6K,8.0
ninislildiary,1.5K,15.0,4.5K,27.0
bythreewishes,716,1.0,23.0K,7.0
xo.yokov,740,7.0,3.4K,8.0
heyitsclarissaa,669,3.0,2.1K,6.0
nakeziaa,623,1.0,924,1.0
teacuppuppycoco,15.1K,0.0,26.8K,1.0
strawberry_shalyn,410,20.0,561,23.0
Thatbaileygal,,,,
sophie_bskin,534,13.0,827,14.0
itsbreeeva,494,4.0,858,6.0
rosaliebriere,827,5.0,7.4K,10.0
thekimedit,909,31.0,1.8K,31.0
thebeautymolecule,,,,
im.gis3lle,426,7.0,828,8.0
what_can_i_buy,746,0.0,1.7K,2.0
Rosemarie.loves,419,9.0,617,10.0
victoriahui,600,2.0,48.2K,3.0
nikkkaayy_,75,1.0,286,1.0
edli.ugc,318,5.0,828,6.0
yt.jichelleirish,317,2.0,650,3.0
newa_supriya,356,2.0,549,3.0
creativelyamanda,476,8.0,796,9.0
ugcwithb__,47,2.0,70,2.0
sophia.cathyy,,,,
sailormina_,454,13.0,2.1K,15.0
glowinthegram,863,10.0,1.5K,12.0
ericaz_ugc,,,,
ugc_byivanna,531,14.0,937,14.0
krisoncamera,1.1K,1.0,1.1K,2.0
ugc.by.iri,525,5.0,1.7K,5.0
aeht.ugc,187,0.0,1.5K,1.0
honest_recs,724,2.0,745,2.0
by_ashmariee,558,9.0,663,10.0
almostsimplysky,403,2.0,1.3K,3.0
lukyss_09p,168,0.0,359,1.0
amirka08,313,2.0,536,3.0
chilibeauty1201,652,2.0,953,3.0
tatiana.ptrnina,344,4.0,674,5.0
abigail.ugc.creator,,,,
trxlyadria,483,29.0,521,31.0
skinwsara,,,,
miralii.m,933,2.0,2.3K,2.0
_janessam,494,1.0,4.2K,3.0
annahostriakova,401,1.0,720,1.0
ibubblii,1.2K,0.0,1.1K,
beautyfanaticjenn,2.4K,1.0,2.4K,1.0
glowyyclover,,,,
ugcwithedwina,984,2.0,1.9K,5.0
christineeugc,1.1K,3.0,1.6K,3.0
renlauskin,295,1.0,315,1.0
pixelheartsbeauty,304,2.0,317,2.0
jelloskinsecrets,575,17.0,854,18.0
ugc_adriiana,763,0.0,2.4K,1.0
skin_likee,1.4K,1.0,55.7K,14.0
glowological,329,3.0,595,3.0
hola.danielaxoxo,813,4.0,978,4.0
vera_kskincare,599,70.0,1.4K,74.0
luv4ikeuuu,1.7K,13.0,70.2K,40.0
kat.iveth1,468,12.0,666,15.0
fabulous.mira.skincare,897,1.0,14.0K,2.0
ugcale,,,,
skinbyhelen,3.2K,6.0,194.8K,12.0
ellasolves,414,0.0,2.5K,0.0
skinwithe1,259,22.0,351,23.0
ugcwithmeriem,344,2.0,608,2.0
joselinastyle,509,38.0,695,39.0
starfaceorganics,899,4.0,3.9K,6.0
ishmadiaries,397,4.0,3.9K,6.0
stanskincare,180,1.0,180,2.0
itshazeldiaries,285,0.0,402,1.0
skinwithclods,376,7.0,745,8.0
greyyychoi,1.4K,2.0,18.1K,12.0
heartz4pitii,2.4K,34.0,157.8K,66.0
mattrandon,57.1K,32.0,264.3K,77.0
melon_park,252.2K,91.0,491.0K,150.0
_lilyis,114.7K,37.0,424.4K,106.0
keytoglo,756,4.0,884,5.0
abbyrosemaureen,875,4.0,4.6K,4.0
kiki.dee__,,,,
denitsab3auty,661,11.0,1.0K,12.0
lilac__05,367,21.0,6.9K,23.0
dreamyglowyskin,555,1.0,591,1.0
bethyful_kbeauty,367,5.0,1.0K,5.0
maddysbeautytalk,442,4.0,757,5.0
lovemisomeskin,566,2.0,8.7K,3.0
ugcwithkpm,842,13.0,1.9K,13.0
betweendots,748,2.0,798,2.0
chen.ugc,580,2.0,2.1K,13.0
aera.ugc,513,20.0,555,26.0
skincarewithxia_,521,6.0,636,6.0
skinhippie27,547,21.0,1.2K,27.0
klea.sotiri,2.4K,6.0,6.2K,7.0
zahraxbeauty,576,7.0,21.8K,9.0
katysayfi,1.1K,1.0,936,1.0
sonuugrg_,1.3K,2.0,3.9K,3.0
anika_kozlova,1.5K,2.0,125.2K,9.0
itstessjohnson,418,2.0,1.0K,3.0
looksbyhiba,366,3.0,519,3.0
itsmelissaga,3.3K,5.0,64.1K,15.0
zoe.aesthetic.grw,677,1.0,2.3K,3.0
thedikshadiary,723,1.0,1.4K,1.0
akshayareddykontham,727,0.0,857,
lifestylewithfatima,1.2K,5.0,25.4K,7.0
bosslady__carla,1.4K,73.0,9.6K,98.0
thehydratedhunny,492,1.0,1.2K,3.0
grace_forevermore_,473,7.0,619,9.0
brendasbeautyblog_,264,1.0,294,1.0
curateandglow,378,1.0,875,1.0
nizvetsbeautydiaries,359,1.0,614,2.0
hijabiskinfluencer,422,2.0,2.8K,3.0
skincarepessimist,859,0.0,1.2K,
mottaskin,879,2.0,1.2K,3.0
zwonylen,5.2K,34.0,46.5K,186.0
stephaniienini,392,2.0,5.4K,11.0
glam._diaries,689,52.0,1.1K,51.0
sashask1n,658,27.0,1.4K,28.0
ugc.by.zainab,520,3.0,803,3.0
dearkisha_,428,4.0,645,5.0
nattylattie,493,5.0,595,23.0
liansloves,358,2.0,4.3K,5.0
andie_sorto,540,9.0,2.3K,10.0
melinamujer,380,1.0,484,1.0
irisoyeon_,455,2.0,2.3K,3.0
_arishasheikh,694,2.0,701,2.0
hanahdewybae,666,5.0,5.1K,6.0
gemavm10,437,13.0,608,12.0
keirrawebster,422,2.0,592,3.0
ugcbyjamie,1.7K,42.0,35.5K,62.0
badblory,667,4.0,791,6.0
sya.skin,10.5K,15.0,30.4K,21.0
skincarewithbrit_,777,3.0,949,3.0
skincareuprising,4.5K,0.0,6.1K,1.0
beauty_viridiana_,424,0.0,574,1.0
emileerachel,348,2.0,1.1K,3.0
timeforrice,564,1.0,538,2.0
jhamheartsthis,798,10.0,8.0K,15.0
aglimpseofglow,948,0.0,952,1.0
mariana.ugc,461,8.0,3.3K,11.0
tashfia____,1.3K,3.0,3.4K,7.0
