username,verified,top_hashtags
theonlyhaven,FALSE,"rlholiday, poloralphlauren, rlholidaytree, ralphlauren, lancomesg, lancomepartner, idolefragrances, idolepower, idolebylancome, lorealpromysg, galaxys25ultra, withgalaxy, inoa!, decodethepastels, inoaloverssg"
turquoise.dec,FALSE,"yslbeauty, yslbeautysg, yslmakeup, ysltheinks"
ttalgi.ellie,FALSE,"fyp, support, unbox, outfits, outfitinspo, hauls, outfit, purchase, ugc, styletips, unboxingvideo, fashion, styleinspo, fashiontiktok, vibes"
srsaskin_,FALSE,"kbeauty, koreanskincare, teca, fyp, abib, abibholidaymoonglowbox, abib_global, holidaybox, holiday, holiday2024, beautybox, unboxing, skincarejourney, skincareroutine, kbeautyskincare"
cinthia_dosamples,FALSE,"creatorsearchinsights, beautycontentcreator, kbeauty, beautycommunity, ugc, skincare, newmakeup, unboxing, lipgloss, stylekorean, koreanmakeup, makeup, beauty, giftedby, stylekoreanpartner"
lee.ly1012,FALSE,"beauty, reviewbyleely, sephora, perfume, fragrance, ultabeauty, macys, yslbeautyus, newperfume, perfumereview, smellgood, smellgoodfeelgood, dailywear, sexyperfume, gorgeous"
xevelynluu,FALSE,"foryou, fyp, fy, trending, makeup, lipgloss, gilmoregirls, musthaves, slurpeerun, amazonvirtualtryon, vancouver, trend, diorlipoil, onedegreemore, nightlife"
chloelouiseliveslife,FALSE,"superdrugpresents, superdrug, justgirlythings, superdrugpresentsevent, superdrugevent, makeupevent, primarkmakeup, primarkfinds, primarknewin, newinprimark, primarkshopping, primarkuk, homebargains, girlsgroupchat, girlygroupchat"
melissahemmingsley,FALSE,"tatemcrae, soclosetowhat, tatemcraetour, tatemcraeedits, tatemcraeconcert, misspossessivetour, relatable, transitioninspo, transitionideas, itsokimok, funny, boyfriend, minigolf, sabrinacarpenter, shortnsweet"
skincare.ninja,FALSE,"supplements, supplementsthatwork, chiaseedwater, digestiveenzymes, probiotic, skinhealth, guthealthtiktok, gutcleanse, 15daygutcleanse, bloatedstomach"
ugc_withjessi,FALSE,"traveltiktok, traveltok, ugccreator, ugc, ugccontentcreator, ugccontent, ugctravelcreator, travelcouple, ugctravelvlog, ugccommunity, ugcexample, ugctravelcontent, travelcontent, ugctravel, travellife"
jessicaroseugc,FALSE,"skincare, unboxing, kbeauty, skincareroutine, pr, makeup, contentcreator, grwm, koreanskincare, makeuptutorial, prunboxing, coloring, colorwithme, coloringbook, stylekorean"
kayskwa,FALSE,"movingabroad, livingabroad, internationalstudent, apartmenttour, melbourneapartment, melbournestudent, livingalonediaries, studyabroad, dininghalls, mcgilldininghall, mcgilluniversity, studentdiaries, leavinghome, travellife, dreamcity"
autumnsaro,FALSE,"aesthetic, fyp, itgirl, pinterestinspo, morningroutine, thatgirl, danishpastel, girlythings, pinterestaesthetic, treehutpartner, treehut, treehutvanilla, rhode, whatsinmybag, emijay"
tinaangelinaaa,FALSE,"ugccreator, ugc, contentcreator, grwm, ugcexample, ugccontentcreator, makeuptutorial, ugccommunity, londonrecommendations, nailinspo, groceryhaul, skincareroutine, gymtok, pinterestaesthetic, vlog"
life.w.lex4,FALSE,"ugc, fyp, ugccontentcreator, ugccommunity, ugccreator, contentcreator, capcut, smallcreator, ugcexample, girlytok, aesthetic, girlythings, ugccontent, lifestyle, creatorsearchinsights"
jensnomz,FALSE,"foodie, eating, foodreview, dallas, korean, costco, sushi, nogatekeeping, richardsontexas, chicagodogs, cheesefries, chickenbake, lifehack, jjajangmyeon, blackbeannoodles"
mindfulugc,FALSE,"squarepad, tonerpads, skincarestarter, glowgamechanger, glasskin, bouncyglow, ultafinds, pr, contentcreatortips, passiveincome, brandingstrategy, socialmediasuccess, ugccreator, ugcquestions, ugctips"
