username,median_views,median_comments,average_views,average_comments,last_video_date,verified,top_hashtags
Hikarifleurr,987,6.0,6.5K,11.0,2020-01-31,False,"nostalgia, y2k, brendasong, ad, girlygirl, plutotv, blackhistorymonth, whitechicks, blackmovies, girlythings, early2000s, disney, disneychannel, londontipton, girlyaesthetic"
Rosemarie.loves,419,9.0,617,10.0,2023-02-24,False,"tiktokshop, tiktokmademebuyit, fashion, tiktokshopfinds, kbeauty, makeup, koreanskincare, beauty, cppartner, food, skincare, clothing, heels, valentinesday, lipstick"
Thatbaileygal,,,,,2023-12-10,False,
__allaboutskincare__,311,2.0,275,3.0,2024-02-17,False,"explore, tiktok, viral, kbeauty, douyinmakeup, cbeauty, koreanskincare, coquetteaesthetic, koreanmakeup, flowerknows, flowerknowsmakeup, fyp, foryoupage, relateablepost, coquettemakeup"
_anjello,389,24.0,529,27.0,2024-01-14,False,"skincare, capcut, kbeauty, koreanskincare, skintok, korean, fyp, pichyreview, gopicky, skincareroutine, pr, cream, antiaging, koreanskincareproducts, gifted"
_arishasheikh,694,2.0,701,2.0,,False,"fypp, fypsounds, foryoupage, foryou, preppylifestyle, therapeutic, adulting, slownightroutine, doritostriangletryout, saferspace, fyppage, microinfluencer, pinterestwannabe, microcreators, trending"
_chicpick,382,16.0,2.2K,19.0,2022-12-12,False,"fyp, creatorsearchinsights, ugccontentcreator, kbeauty, skincare, skincareroutine, smallcontentcreator, koreanskincare, prpackage, prhaul, glowymakeup, kbeautyskincare, lippie, viral, skintok"
_dollylqve,2.1K,39.0,11.2K,78.0,2024-06-17,False,"fyp, kbeauty, makeup, girly, pink, viralmakeup, selfcare, plush, plushies, getahug, asmr, koreanmakeup, kbeautymakeup, lipgloss, cutesy"
_janessam,494,1.0,4.2K,3.0,2021-03-05,False,"fyp, makeuproutine, fypviral, rosein, berryblush, creamblush, baseroutine, makeup, makeuplover, beautyhacks, eyeshadow, barcelona, traveltok, lipswatch"
_just.livinggg_,648,2.0,572,2.0,2024-04-23,False,"gopicky, pickyreview, kbeauty, glowingskin, koreanskincare, skincareobsessed, skincareroutine, centellian24, picky, cleanbeauty, koreanbeauty, pickycentellian24, skincarereview, manyo, skincarecommunity"
_lilyis,114.7K,37.0,424.4K,106.0,2022-07-17,False,"kbeauty, kbeautyproducts, koreanskincaretiktok, koreanbeauty, skincareempties, koreanskincaretips, skincareforbeginners, kbeautyfinds, skincaretiktok, skincaretips, glassskin, skincareroutine, glowyskin, koreanstyles, skincareroutines"
_taniagrover,,,,,2020-12-01,False,"bharatanatyam, southasian, dance, intruder, sponsored, brandcollab, blushmarkofficial, blushmark, influencer, nyc, nyccontentcreator, greenscreen, calistatools, rutgers, unboxing"
abbyrosemaureen,875,4.0,4.6K,4.0,2021-08-11,False,"skincare, acne, skincareroutine, ad, dermaangel, dermaangelus, smartpicksforyouracne, acnepatch, invisibleacnepatch, acnecare, deepacnecare, porecare, darkspotcare, postacnecare, clearskinroutine"
abigail.ugc.creator,,,,,,False,
addicted.to.skincare,29.4K,13.0,167.4K,54.0,2023-06-21,False,"fyp, kbeauty, skincare, skintok, koreanskincare, skincaretips, skincare101, fypp, fyy, pmskincareroutine, serum, am, amskincare, anua, tiktokmademebuyit"
adriannamg12,405,4.0,1.1K,5.0,2020-09-12,False,"makeup, fyp, lipbalm, lipproducts, makeuplover, skincare, elfcosmetics, frecklemakeup, beauty, affordablemakeup, lipgloss, elflipbalm, lipstick, makeupcollection, makeupproducts"
aeht.ugc,187,0.0,1.5K,1.0,2024-04-22,False,"fyp, viral, viraltiktok, trend, viralvideo, trending, trendingvideo, iphone, iphone15pro, apple, applestore, titanium, skincare, clearskin, jskin"
aera.ugc,513,20.0,555,26.0,2025-05-09,False,"kbeauty, makeup, skincare, fyp, nyxcosmetics, blush, beauty, fentybeauty, centellaskincare, yesstyle, elf, dasique, dior, sheglamblush, haircareroutine"
aglimpseofglow,948,0.0,952,1.0,2022-12-26,False,"ugccontentcreators, skincareinfluencer, makeupinfluencer, ugccontentcreator, skincaretexture, medicube, medicubecollagenjellycream, pinkskincare, ugccommunity, ugccreator, kaine, janeiredale, prhaul, roundlab, toner"
akshayareddykontham,727,0.0,857,,2024-05-08,False,"aasakooda, recreatingoutfits, tiktok, skincareroutine, glassskincare, nomakeupmakeuplook, maybelline4in1perfector, essencemascara, minimalmakeuplook, sheindress, sheindressesforvacation, trending, sheindresses, sheinblackdresses, sheinusa"
allansgirl_,437,5.0,830,5.0,2023-01-19,False,"echinacea, echinaceacream, barriercream, recoverycream, tonertoessence, rawquest, kbeauty, glassskin, prozis, prozisusa, exceedyourself, complimentary, newmakeup, haloglow, elfcosmetics"
allbriwoo,4.8K,8.0,20.4K,14.0,,False,"blackbaldwomen, baldgirlsonly, baldbabe, skincare, amazoninfluencer, blondeandbald, skincareroutine, blackandbald, amazonprogram, amazonstorefront, amazonaffiliate, morningroutine, skincarejunkie, confidence, hairinfluencer"
almostsimplysky,403,2.0,1.3K,3.0,2024-08-23,False,"fyp, foryou, dutchbros, dutchbrospuravida, dutchbrosxpuravida, puravida, puravidabracelets, puravidaambassador, ugccreator, theerastour, theerastourseattle, seattlen1, christmas, theerastourtaylorswift, theeras"
alotta_reviews,178,1.0,390,2.0,2020-06-03,False,"skincareroutine, selfcare, skincaregoals, glowingskin, kbeauty, healthyskin, koreanskincare, sensitiveskin, skincareessentials, skincarecommunity, cleanbeauty, glowup, beautytips, beautyroutine, fyp"
amirka08,313,2.0,536,3.0,2023-09-03,False,"kbeauty, skincare, fyp, 2025, newyear, happynewyear, skincarefridge, kroutine, make, refri, minirefri, minirefrigeratorforskincare, retro, coral"
andie_sorto,540,9.0,2.3K,10.0,2021-02-18,False,"latinabeautycreator, maybellinepartner, gifted, lipstickswatches, beauty, drugstoremakeup, lipswatches, superstayteddytint, blurredlips, teddytint, tint, drugstorelippies, nyxcosmetics, nyxprofessionalmakeup, lipstain"
angelinajarboe,9.6K,86.0,393.5K,119.0,2022-11-29,False,"affordableskincare, targetskincare, greenscreen, bestskincare, bestaffordableskincare, drugstoreskinscare, christmashaul, matureskincare, christmashauls, rhode, rhodelipshape, christmashauls2024, richkidchristmashaul, deinfluencing, matureskin"
anika_kozlova,1.5K,2.0,125.2K,9.0,2023-01-29,False,"makeuphacks, eyemakeup, beautyhacks, beautyhack, eyeliner, makeuptutorial, beautyinfluencer, eyelinertutorial, makeup, eyemakeuptutorial, makeuphack, ugccreator, makeupfail, ugcbeauty, prommakeup"
