username,median_views,median_comments,average_views,average_comments
theonlyhaven,17.6K,8,134.6K,32
turquoise.dec,117.8K,34,341.6K,153
ttalgi.ellie,932,5,4.3K,6
srsaskin_,1.1K,19,2.7K,28
_anjello,389,24,529,27
jf.skin24,484,20,561,22
cinthia_dosamples,424,9,780,11
lee.ly1012,1.3K,2,2.5K,6
prettywrinkles,704,4,2.6K,5
xevelynluu,,,,
chloelouiseliveslife,1.3K,4,14.6K,24
melissahemmingsley,496,3,4.0K,5
skincare.ninja,5.6K,5,183.4K,9
ugc_withjessi,428,2,532,3
so.calmama,406,1,4.7K,5
jessicaroseugc,318,6,839,7
kayskwa,3.0K,2,49.7K,18
jennasiee,9.3K,8,176.3K,111
ugcxmichelle,448,11,532,12
autumnsaro,5.9K,33,17.4K,47
tinaangelinaaa,388,2,2.1K,3
crystalschob3,512,1,2.6K,2
life.w.lex4,588,4,883,5
jensnomz,1.0K,2,4.3K,5
srsdigitaldiary,,,,
eloise_ugc,1.0K,2,1.3K,2
shellllls_lifeeee,392,7,502,9
xokena_,463,16,765,20
mindfulugc,394,9,395,10
nooni.ugc,1.3K,5,19.7K,20
heyitsaliquinn,454,5,454,5
glo.ssary,935,1,101.4K,4
pretty.squirrelss,893,1,1.9K,2
danielaapryl,1.6K,11,4.0K,14
allbriwoo,4.8K,8,20.4K,14
grw.alii_,814,6,5.5K,7
jilliangottlieb,13.9K,23,525.4K,65
zhala.beauty,884,9,5.7K,10
skinbykristin,31.2K,57,101.0K,96
lifewtamia,2.4K,20,6.4K,41
sunscreen.addict,385,1,4.8K,4
toninlanaa,698,4,51.3K,46
ft.angela,1.4K,2,1.5K,2
pinaydora,919,3,1.2K,5
yangmediary,292,4,375,4
d_dudley4,308,4,400,4
beauty__bymegs,429,17,485,17
beautycloudlove,1.4K,1,4.3K,2
psdiwan22,570,13,789,13
auraofmahmuda,773,4,5.9K,7
vickyoffishal,1.1K,3,23.8K,17
__allaboutskincare__,311,2,275,3
klymi.na,10.6K,5,19.9K,9
jeracoolio,2.5K,9,21.7K,26
razan.alani,1.8K,24,1.8K,25
angelinajarboe,9.6K,86,393.5K,119
waves_for_dayzz,11.0K,1,12.7K,2
jmeans77,294,1,415,2
carmelk1,223,2,223,2
ouibutnon,695,6,692,6
skincredibles,3.0K,26,12.2K,39
jamesslushie,352,1,7.4K,2
_chicpick,382,16,2.2K,19
aroundtheplanetandback,21.7K,2,24.5K,4
itsomalherself,224,2,282,3
skincarenotes,839,5,2.5K,9
hannie.skin,1.5K,5,6.4K,6
skin_with_zee,597,7,883,9
bel1amur,829,9,1.6K,12
laurynslocs,,,,
ksuuuushaxx,8.2K,4,767.0K,51
ugc_emma9,302,3,492,4
loriebelle.ugc,407,5,3.5K,8
ugcwithsahar,475,9,1.1K,15
lovinglynat,662,6,797,9
lindsaymae_,800,44,2.3K,47
glowwithhima,458,2,625,2
allansgirl_,437,5,830,5
upasanaarora,231,2,223,1
natik4s,354,4,517,4
reviews_by_bee,513,14,548,16
ugcwithjag,757,0,809,
hushhalohue,675,6,809,7
_just.livinggg_,648,2,572,2
glow.like.korea,,,,
britnorman_,2.1K,3,2.1K,7
lexlovesmakeup,357,6,3.3K,7
