Column1,account,follower,following,first_upload_date
0,keishasarah_,44700,161,2020-09-30
1,theonlyhaven,1200000,77,2019-12-19
2,turquoise.dec,755000,122,2021-02-14
3,ttalgi.ellie,1373,726,
4,srsaskin_,1439,890,2024-02-03
5,_anjello,949,681,
6,jf.skin24,896,841,2024-01-24
7,cinthia_dosamples,1492,1716,
8,lee.ly1012,5093,482,2023-10-10
9,thatgirlsow,15900,775,
10,xevelynluu,16600,16,2021-04-12
11,kkatelynnicole,22600,216,
12,byleahrogers,2832,855,
13,tatlafata,1100000,498,
14,kyranikole2,176400,617,2021-01-26
15,claaaarke,794700,842,2020-03-18
16,shivaniaxox,305100,1566,2022-12-01
17,chloelouiseliveslife,5870,163,2023-12-28
18,emmagguerrero,7939,877,2020-09-13
19,camila.vilas,250400,259,2020-01-20
20,melissahemmingsley,5752,441,2022-01-03
21,morgankania,53000,951,2022-04-28
22,carlyrivlin,367400,196,2020-01-14
23,nobodywhoareu,4624,88,2020-06-14
24,amyyy.xo__,189,2956,
25,elongatedmusk,11100000,968,
26,via..li,893500,384,2022-01-17
27,lanipliopa,210600,182,
28,jessyluxe,472200,239,2020-01-24
29,yurileeeee,881500,339,2022-08-22
30,jackieaina,3100000,311,
31,patriciabright,293000,295,2020-03-09
32,athenalayna,1200000,707,2020-01-24
33,stxph.h,2200000,901,2020-03-21
34,lizzymwong,3700000,538,2020-01-11
35,achendricks,546300,453,
36,marissaayerss,1500000,1058,
37,avani,42000000,4998,
38,itslizzyruiz,401,655,
39,rogerwh0,716100,489,
40,sallykim7_,725700,427,
41,emmycombss,11700000,1968,2018-12-08
42,eyecharlene,91200,527,2020-04-16
43,jenntenmanns,317,200,
44,golloria,3200000,710,
45,emxclark,67900,527,2020-08-23
46,skincare.ninja,135100,495,
47,_skincarewithroyce,129400,512,2021-07-17
48,maryfergtzg,151700,125,2022-03-09
49,lorenevon.ugc,882,423,
50,ugc_withjessi,1114,2020,
51,avaconti_,125400,610,
52,byjeannelyn,9529,275,
53,so.calmama,2336,387,2021-01-27
54,samj_socials,1474,107,
55,jessicaroseugc,1231,527,2023-09-30
56,ericagvibes,3423,2169,2020-12-17
57,cynthiakozian,77000,363,2022-02-03
58,lavicelavrenee,4081,540,
59,madi.alexi,18000,4241,2020-05-14
60,itscaitlynwhite.ugc,1530,589,
61,kayskwa,34900,155,2022-02-02
62,lifewjuliaf,207,103,
63,_destinysoto,22000,7650,2020-07-25
64,heyy.sisterr,294,91,
65,ugcbysab,1250,1158,
66,sabinazzm,67600,29,2020-10-07
67,just.auj,1012,1528,
68,alicianwinter,2223,999,2021-01-11
69,morriscelena,6030,475,
70,amandanicoleugc,2873,757,2022-08-23
71,jennasiee,46700,189,
72,innovativenisse,733,365,
73,ugcxmichelle,866,209,
74,cailastevensss,115700,1281,
75,zlataugc,509,139,
76,teliajasmineugc,25700,208,
77,autumnsaro,74700,916,2022-08-11
78,illuminatemichelle,2912,899,
79,paigeking.ugc,1623,1096,
80,sqthornt,3167,1904,
81,taylorvance,96900,503,
82,ashleyyytnicole,20300,626,2021-09-02
83,jennileeashlee,304700,305,2019-03-06
84,syds.studio,2464,893,
85,tinaangelinaaa,21400,1215,
86,creativesbyyana,2862,1716,2022-09-16
87,mokaofernugc,887,595,
88,ugc.kelseyjohnson,1126,1502,2022-10-20
89,elev8_withsedona,2113,503,
90,meganrafful,2666,822,
91,la.sanger,2351,1368,2020-04-24
92,carlimeacham,2537,910,
93,life.w.lex4,6610,2590,2024-03-09
94,kierstenhayley,4605,311,
95,jensnomz,1671,570,
96,ucgguru,1043,11,
97,hannahwin,2898,1774,
98,karsace,137300,2079,2020-03-23
99,haleybauler,38200,1289,2021-02-27
100,ugc.bystephanie,1574,284,
101,megan_alysee,14200,173,
102,emyleecreates,6813,1187,
103,mindfulugc,3098,291,2023-09-21
104,nooni.ugc,6047,877,2023-12-29
105,lextingg,2923,462,2024-01-19
106,taylorhannagan,8973,272,2020-03-08
107,trishsips,1380,501,2020-10-22
108,emmatalaat_,3323,656,
109,kylielbb,18500,469,
110,emanliie,11700,275,2021-08-12
111,prettythingswithjess,5060,332,2023-03-09
