"tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm","stk_etf_dit_cd","ltg_tot_stk_qty","fc_mkt_dit_cd","co_adr","web_adr","btp_cfc_nm","ceo_nm","eng_utk_otl_cts","ser_cfc_nm","ids_nm","mkt_pr_tot_amt"
AA,알코아                                                         ,Alcoa Corp                                                  ,주식,258340140,NYSE,"201 Isabella Street, Suite 500   PITTSBURGH PA 15212 United States",https://www.alcoa.com/global/en/home,Aluminum (NEC),William Oplinger,"Alcoa Corporation is a vertically integrated aluminum company, which is engaged in bauxite mining, alumina refining, aluminum production (smelting and casting) and energy generation. Its Alumina segment consists of its worldwide refining system, which processes bauxite into alumina. The alumina produced by this segment is sold to internal and external aluminum smelter customers; a portion of the alumina is sold to external customers who process it into industrial chemical products. Its Aluminum segment consists of worldwide smelting and cast house system, which processes alumina into primary aluminum, and portfolio of energy assets in Brazil, Canada and the United States. Its smelting operations produce molten primary aluminum, which is then formed by the casting operations into either common alloy ingot or into value-add ingot products. It owns and controls Alcoa World Alumina and Chemicals joint venture that owns, operates or has an interest in bauxite mines and alumina refineries.",Basic Materials,Aluminum,8928.240000
AAL,아메리칸 에어라인스 그룹                                               ,American Airline                                            ,주식,656703913,NASD,"1 Skyview Drive   FORT WORTH TX 76155 United States",https://americanairlines.gcs-web.com/,Regional Airlines,Robert Isom,"American Airlines Group Inc. is a holding company. Its primary business activity is the operation of a network air carrier. The Company, together with its regional airline subsidiaries and third-party regional carriers, operates under the American Eagle brand, providing scheduled air transportation for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, D.C. and partner gateways, including in London, Doha, Madrid, Seattle/Tacoma, Sydney and Tokyo. Its cargo division provides a range of freight and mail services, with facilities and interline connections available across the globe. Its subsidiaries include American Airlines, Inc., Envoy Aviation Group Inc., PSA Airlines, Inc. and Piedmont Airlines, Inc. It operates approximately 965 mainline aircraft supported by its regional airline subsidiaries and third-party regional carriers, which together operated an additional 556 regional aircraft.",Industrials,Airlines,6711.510000
AAN,Aaron's Company                                             ,Aaron's Company                                             ,주식,31550767,NYSE,"400 Galleria Parkway Se, Suite 300   ATLANTA GA 30339-3182 United States",https://investor.aarons.com/,Consumer Leasing,Stephen Olsen,"The Aaron?? Company, Inc. is a technology-enabled, omnichannel provider of lease-to-own and retail purchase solutions for appliances, electronics, furniture, and other home goods across its brands, including Aaron??, BrandsMart U.S.A., BrandsMart Leasing, and Woodhaven. The Company offers a direct-to-consumer lease-to-own solution through its approximately 1,240 Company-operated and franchised stores in 47 states and Canada, as well as its own e-commerce platform. BrandsMart U.S.A. is an appliance retailer in the country with about 11 retail stores in Florida and Georgia, as well as its e-commerce platform. BrandsMart Leasing offers lease-to-own solutions to customers of BrandsMart U.S.A. Woodhaven is the Company's furniture manufacturing division. The Company?? business segment consists of Aaron's branded Company-operated and franchise-operated stores; aarons.com e-commerce platform (aarons.com); Woodhaven; and BrandsMart Leasing (collectively Aaron?? Business).",Industrials,Rental & Leasing Services,318.030000
AAOI,어플라이드 옵토일렉트로닉스                                              ,AOI                                                         ,주식,42644441,NASD,"13139 Jess Pirtle Blvd   SUGAR LAND TX 77478 United States",https://ao-inc.com/,Electronic Components,Chih-Hsiang Lin,"Applied Optoelectronics, Inc. is a vertically integrated provider of fiber-optic networking products. The Company designs and manufactures a range of optical communications products at varying levels of integration, from components, subassemblies, and modules to complete turn-key equipment. The Company also designs, manufactures, and integrates its own analog and digital lasers using the proprietary Molecular Beam Epitaxy (MBE), and Metal Organic Chemical Vapor Deposition (MOCVD) fabrication process. The Company has manufacturing facilities in Taipei, Taiwan and Ningbo, China. The Company manufactures lasers and laser components and performs research and development activities for laser component and optical module products. The Company offers its fiber-optic networking products, primarily for four networking end-markets, such as cable television, (CATV), Internet data center, telecommunications, (telecom), and fiber-to-the-home (FTTH).",Technology,Communication Equipment,393.420000
AAON,에이에이온                                                       ,AAON                                                        ,주식,81013148,NASD,"2425 South Yukon Ave.   TULSA OK 74107 United States",https://www.aaon.com/,"Heating, Ventilation & Air Conditioning",Matt Tobolski,"AAON, Inc. is a producer of heating, ventilation, and air conditioning (HVAC) systems for commercial and industrial indoor environments. The Company operates through three segments: AAON Oklahoma, AAON Coil Products, and BASX. The AAON Oklahoma segment engineers, manufactures, and sells, semi-custom, and custom HVAC systems, designs and manufactures control solutions, and sells retail parts to customers through retail part stores and online. AAON Coil Products segment engineers and manufactures a selection of semi-custom and custom HVAC systems as well as a variety of heating and cooling coils to be used in HVAC systems. BASX segment engineers, manufactures, and sells an array of custom, high-performance cooling solutions for the hyperscale data center market, ventilation solutions for cleanroom environments in the biopharmaceutical, semiconductor, medical and agriculture markets, and highly custom, air handlers and modular solutions for a vast array of markets.",Industrials,Building Products & Equipment,7605.920000
AAP,어드밴스 오토 파츠                                                  ,Advance Auto                                                ,주식,59674284,NYSE,"4200 Six Forks Road   RALEIGH NC 27609 United States",https://shop.advanceautoparts.com/,Automotive Parts & Accessories Retailers,Shane O'Kelly,"Advance Auto Parts, Inc. is an automotive aftermarket parts provider in North America, serving both professional installers (professional) and do-it-yourself (DIY) customers, as well as independently owned operators. Its stores and branches offer a range selection of brand names, original equipment manufacturer (OEM) and owned brand automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy-duty trucks. Its stores operate primarily under the trade names Advance Auto Parts and Carquest and its branches operate under the Worldpac trade names. It operates approximately 4,785 stores and 320 Worldpac branches primarily within the United States, with additional locations in Canada, Puerto Rico and the U.S. Virgin Islands. The Company also serves approximately 1,307 independently owned Carquest branded stores across these locations in addition to Mexico and various Caribbean islands.",Consumer Cyclical,Specialty Retail,2930.600000
AAPB,GraniteShares 1.75x Long AAPL Daily ETF                     ,GRANITESHARES AAPL DAILY ETF                                ,ETF,0,-,-,-,-,-,-,-,-,0.000000
AAPL,애플                                                          ,Apple                                                       ,주식,15204137000,NASD,One Apple Park Way   CUPERTINO CA 95014 United States,https://www.apple.com/,Phones & Smart Phones,Timothy Cook,"Apple Inc. designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. Its product categories include iPhone, Mac, iPad, and Wearables, Home and Accessories. Its software platforms include iOS, iPadOS, macOS, watchOS, and tvOS. Its services include advertising, AppleCare, cloud services, digital content and payment services. It operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games and podcasts. It also offers digital content through subscription-based services, including Apple Arcade, Apple Fitness+, Apple Music, Apple News+ and Apple TV+. Its products include iPhone 15 Pro, iPhone 15, iPhone 14, iPhone 13, MacBook Air, MacBook Pro, iMac, Mac mini, Mac Studio, Mac Pro, and others. It also provides DarwinAI, which specializes in visual quality inspection using its Explainable AI platform.",Technology,Consumer Electronics,3454684.010000
AAPU,Direxion Daily AAPL Bull 2X Shares ETF                      ,DIREXION DAILY AAPL BULL 2X ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.000000
AAT,아메리칸 애세츠 트러스트                                               ,Amercn Asst Trst                                            ,주식,60901583,NYSE,"3420 Carmel Mountain Road, Suite 100   SAN DIEGO CA 92121 United States",https://www.americanassetstrust.com/,Commercial REITs (NEC),Ernest Rady,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust (REIT). The Company owns, operates, acquires, and develops office, retail, multifamily and mixed-use properties in attractive, high-barrier-to-entry markets in Southern California, Northern California, Washington, Oregon, Texas, and Hawaii. It operates in four segments: office, retail, multifamily and mixed-use. The Company's office portfolio comprises approximately 4.1 million rentable square feet, and its retail portfolio comprises approximately 3.1 million rentable square feet. In addition, the Company owns one mixed-use property (including approximately 94,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,110 multifamily units. Its portfolio consists of twelve office properties; twelve retail shopping centers; a mixed-use property consisting of a 369-room all-suite hotel and a retail shopping center; and six multifamily properties.",Real Estate,REIT - Diversified,1616.940000
