,Description
0,"국내 해외 증시 지수, 시장지표, 뉴스, 증권사 리서치 등 제공"
1,"환율(換率, exchange rate)은 한 통화와 다른 통화의 교환 비율로, 대개 기준 국가의 관점에서 자국 통화와 타국 통화의 교환 비율인 외환율(外換率, foreign exchange rate)을 가리킨다. '환시세', '외환시세', '외국환시세'라고도 한다."
2,"미국 · USD · 1 달러 ; 대한민국 · KRW · 1,347.4 원"
3,"1993년 출범한 김영삼 정부 임기 초중반에는 달러화의 움직임에 큰 변화가 없었다. 하지만 임기 후반으로 갈수록 아시아 외환위기로 변동성이 심해졌고 결국 1997년 외환위기로 1997년 12월 3일부터 IMF 관리 체제로 들어가면서 1997년 12월 16일 정부는 환율변동제한폭을 폐지했고 불과 7일 후 달러화는 장중 1,..."
4,오늘의 환율 · (조회시간 : 2024-10-07 07:06:27) ; 중국 · (CNY) ; 유럽 · (EUR) ; 일본 · (JPY) ; 미국 · (USD)
5,"날짜: 10.07., 매매기준율: 1,347.00, 전일대비: 1.70, 등락률: -0.13 % ; 날짜: 10.04., 매매기준율: 1,348.70, 전일대비: 24.20, 등락률: + 1.83 % ; 날짜: 10.02., 매매기준율: 1,324.50, 전일대비: 4.50, 등락률: + 0.34 %"
6,"환율 (換率, 문화어: 환률, 영어: exchange rate )은 서로 다른 통화의 교환 비율이다. 고정 환율제와 변동 환율제가 있다. 종류와 의미 명목환율 명목환율(nominal exchange rate)이란 한 나라의 화폐 가 외국의 화폐와 교환되는 비율을 말한다. 즉, 자국 화폐로 표시한 외국 화폐의 상대적인 가치라고 말할 수 ..."
7,"환율은 자국 화폐와 외국 화폐의 교환 비율, 즉 외국 화폐와 비교한 자국 화폐의 값어치이다. [환율의 의미] (동영상 출처 : 비상학습백과 중학교 사회 ②) ① 환율의 결정 환율은 외환 시장에서 외환에 대한 수요와..."
8,"국가명: 아랍에미리트 연합, 통화부호: AED, 환율: 362.49, 전주환율: 364.51 ; 국가명: 아르헨티나, 통화부호: ARS, 환율: 1.38, 전주환율: 1.4 ; 국가명: 호주, 통화부호: AUD, 환율: 903.82, 전주환율: 893.99"
9,"우리나라 돈과 국제통화를 바꿀 때의 비율. 환율은 국제통화의 수요와 공급에 따라 결정되며, 환율의 변화는 수출 · 수입과 밀접한 관계가 있다. 전 세계적으로 많이 쓰는 돈을 ‘국제통화’라고 한다...."
10,세계화 시대에는 국가간 교류가 활발하여 우리 국민들도 외국으로 여행을 가기도 하고 외국인들도 한국으로 많이 여행을 온다. 외국으로부터 경제활동에 필요한 원자재는 물론이고 자동차나 의약품 등 다양한...
11,서로 다른 통화간의 교환비율. 한 나라의 화폐가치를 다른나라의 화폐가치로 표현한 것이다. 예를 들어 1달러당 원화 환율이 1300원이라는 말은 1달러를 사기 위해서 1300원을 지불해야 한다는 말이다. 따라서...
12,외국환은행이 고객과 원화를 대가로 미달러화를 매매할 때 기준이 되는 환율을 말하며 시장평균환율 또는 매매기준율 이라고도 한다. 금융결제원의 자금중개실을 경유하여 외국환은행간에 거래된 원화의 대미...
13,"환율은 우리 생활에 영향을 주는 중요한 경제변수이다. 삼성, 현대-기아와 같은 대기업들에게 환율은 날개 달린 천사도 되지만 머리에 뿔 달린 악마가 되기도 한다."
14,"USD/KRW 미달러 원 환율 실시간 스트리밍 차트, 변환기와 기술 분석"
15,"단위통화, 대고객 매매 기준율, 매매 기준율 (한국은행 기준율), 송금 받을때 (전신매입) ; 미국 USD, 1,347.10, 1,333.30, 1,334.40 ; 일본 100JPY, 906.99, 894.65, 898.41"
16,"해외여행을 갈 때에는 우리나라 돈을 외국 돈으로 바꿔 가야 해요. 각 나라에서 서로 다른 단위의 돈을 쓰고 있기 때문이에요.우리나라의 1,000원은 미국 돈 약 1달러와 교환할 수 있고, 일본 돈 약 100엔과 교환할 수..."
17,"고객센터 : 1588-1111 / 1599-1111, 고객센터(해외) : +82-42-520-2500"
18,
19,광고 없이 오늘자 환율을 확인하고 Wise 환율계산기로 모든 주요 세계 통화에 대한 환율을 조회해보세요.
20,"※ 원/달러환율은 여러 대내외 요인의 영향을 받는데, 이는 국제수지, 외국인 증권매수자금 등 외환수급동향, 미 달러화 등의 주요국 환율동향 등에 의해 결정됨"
21,경제·금융 &gt; 경제동향 뉴스: 중국의 대규모 부양책에 따른 위안화 강세와 미국의 물가 둔화 움직임에 원·달러 환율이 연말께 1300원을 하향 돌파할 수...
22,"통화명: USD 미국, 매매기준율: 1,339.50, 전일대비: ▲ 32.60, 등락율: 2.49 ; 통화명: JPY 일본, 매매기준율: 914.02, 전일대비: ▲ 3.76, 등락율: 0.41 ; 통화명: EUR 유럽, 매매기준율: 1,477.33, 전일대비: ▲ 31.18, 등락율: 2.16"
23,"2024년 10월 04일 ; 스웨덴 SEK 128.08 ; 영국 GBP (US$) 1,732.96 ; 노르웨이 NOK 124.50 ; 덴마크 DKK 195.25 ; 유로 EUR (US$) 1,456.53 ; 스위스 CHF 1,549.41 ; 쿠웨이트 KWD 4,313.63 ; 일본 JPY (100) 899.47 ; 바레인 BHD 3,501.31 ; 홍콩 HKD 170.00"
24,"카테고리: [쇼핑TIP], 제목: 고시환율 1,331.56(9/29~10/5), 등록일: 2024-09-27 ; 카테고리: [쇼핑TIP], 제목: 고시환율 1,331.4(9/22~9/28), 등록일: 2024-09-22 ; 카테고리: [쇼핑TIP], 제목: 고시환율 1,338.82(9/15~9/21), 등록일: 2024-09-13"
25,
26,"일본 JPY100, 906.84, ▼ 2.68, -0.29% ; 중국 CNY, 189.99, ▲ 0.48, +0.25% ; 뉴질랜드 NZD, 830.80, ▲ 0.08, +0.01% ; 홍콩 HKD, 173.64, ▲ 1.60, +0.93%"
