,날짜,s&p500 종가,s&p500 시가,s&p500 고가,s&p500 저가,s&p500 변동 %,환율 종가,환율 시가,환율 고가,환율 저가,환율 변동 %
63,2024- 05- 28,"5,306.04","5,315.91","5,315.91","5,280.89",0.02%,"1,362.42","1,361.69","1,364.63","1,355.27",0.18%
62,2024- 05- 29,"5,266.95","5,278.73","5,282.27","5,262.70",-0.74%,"1,370.08","1,363.87","1,372.04","1,361.14",0.56%
61,2024- 05- 30,"5,235.48","5,259.77","5,260.21","5,222.10",-0.60%,"1,374.74","1,371.46","1,382.32","1,369.08",0.34%
60,2024- 05- 31,"5,277.51","5,243.21","5,280.33","5,191.68",0.80%,"1,381.68","1,376.30","1,388.65","1,373.97",0.50%
59,2024- 06- 03,"5,283.40","5,297.15","5,302.11","5,234.32",0.11%,"1,370.36","1,383.10","1,383.80","1,371.17",-0.82%
58,2024- 06- 04,"5,291.34","5,278.24","5,298.80","5,257.63",0.15%,"1,372.93","1,371.70","1,379.18","1,368.91",0.19%
57,2024- 06- 05,"5,354.03","5,314.48","5,354.16","5,297.64",1.18%,"1,368.48","1,374.42","1,378.06","1,367.26",-0.32%
56,2024- 06- 06,"5,352.96","5,357.80","5,362.35","5,335.36",-0.02%,"1,363.71","1,369.85","1,370.90","1,364.00",-0.35%
55,2024- 06- 07,"5,346.99","5,343.81","5,375.08","5,331.33",-0.11%,"1,378.80","1,364.61","1,380.67","1,363.15",1.11%
54,2024- 06- 10,"5,360.79","5,341.22","5,365.79","5,331.52",0.26%,"1,373.60","1,380.06","1,383.31","1,373.80",-0.38%
53,2024- 06- 11,"5,375.32","5,353.00","5,375.95","5,327.25",0.27%,"1,377.50","1,374.81","1,381.39","1,374.55",0.28%
52,2024- 06- 12,"5,421.03","5,409.13","5,447.25","5,409.13",0.85%,"1,369.84","1,378.70","1,381.26","1,363.59",-0.56%
51,2024- 06- 13,"5,433.74","5,441.93","5,441.93","5,402.51",0.23%,"1,375.35","1,371.08","1,378.97","1,365.58",0.40%
50,2024- 06- 14,"5,431.60","5,424.08","5,432.39","5,403.75",-0.04%,"1,381.84","1,376.47","1,387.43","1,374.67",0.47%
