text
"2024- 05- 28의 S&P500 종가는 5,306.04이며 S&P500 시가는 5,315.91를 기록했습니다. S&P500 고가는 5,315.91였고 S&P500 저가: 5,280.89입니다. S&P500 변동 퍼센티지는 0.02%이고, 환율 종가는 1,362.42입니다. 환율 시가는 1,361.69입니다. 환율 고가는 1,364.63이며 환율 저가는 1,355.27입니다. 환율 변동은 0.18%입니다."
"2024- 05- 29의 S&P500 종가는 5,266.95이며 S&P500 시가는 5,278.73를 기록했습니다. S&P500 고가는 5,282.27였고 S&P500 저가: 5,262.70입니다. S&P500 변동 퍼센티지는 -0.74%이고, 환율 종가는 1,370.08입니다. 환율 시가는 1,363.87입니다. 환율 고가는 1,372.04이며 환율 저가는 1,361.14입니다. 환율 변동은 0.56%입니다."
"2024- 05- 30의 S&P500 종가는 5,235.48이며 S&P500 시가는 5,259.77를 기록했습니다. S&P500 고가는 5,260.21였고 S&P500 저가: 5,222.10입니다. S&P500 변동 퍼센티지는 -0.60%이고, 환율 종가는 1,374.74입니다. 환율 시가는 1,371.46입니다. 환율 고가는 1,382.32이며 환율 저가는 1,369.08입니다. 환율 변동은 0.34%입니다."
"2024- 05- 31의 S&P500 종가는 5,277.51이며 S&P500 시가는 5,243.21를 기록했습니다. S&P500 고가는 5,280.33였고 S&P500 저가: 5,191.68입니다. S&P500 변동 퍼센티지는 0.80%이고, 환율 종가는 1,381.68입니다. 환율 시가는 1,376.30입니다. 환율 고가는 1,388.65이며 환율 저가는 1,373.97입니다. 환율 변동은 0.50%입니다."
"2024- 06- 03의 S&P500 종가는 5,283.40이며 S&P500 시가는 5,297.15를 기록했습니다. S&P500 고가는 5,302.11였고 S&P500 저가: 5,234.32입니다. S&P500 변동 퍼센티지는 0.11%이고, 환율 종가는 1,370.36입니다. 환율 시가는 1,383.10입니다. 환율 고가는 1,383.80이며 환율 저가는 1,371.17입니다. 환율 변동은 -0.82%입니다."
"2024- 06- 04의 S&P500 종가는 5,291.34이며 S&P500 시가는 5,278.24를 기록했습니다. S&P500 고가는 5,298.80였고 S&P500 저가: 5,257.63입니다. S&P500 변동 퍼센티지는 0.15%이고, 환율 종가는 1,372.93입니다. 환율 시가는 1,371.70입니다. 환율 고가는 1,379.18이며 환율 저가는 1,368.91입니다. 환율 변동은 0.19%입니다."
"2024- 06- 05의 S&P500 종가는 5,354.03이며 S&P500 시가는 5,314.48를 기록했습니다. S&P500 고가는 5,354.16였고 S&P500 저가: 5,297.64입니다. S&P500 변동 퍼센티지는 1.18%이고, 환율 종가는 1,368.48입니다. 환율 시가는 1,374.42입니다. 환율 고가는 1,378.06이며 환율 저가는 1,367.26입니다. 환율 변동은 -0.32%입니다."
"2024- 06- 06의 S&P500 종가는 5,352.96이며 S&P500 시가는 5,357.80를 기록했습니다. S&P500 고가는 5,362.35였고 S&P500 저가: 5,335.36입니다. S&P500 변동 퍼센티지는 -0.02%이고, 환율 종가는 1,363.71입니다. 환율 시가는 1,369.85입니다. 환율 고가는 1,370.90이며 환율 저가는 1,364.00입니다. 환율 변동은 -0.35%입니다."
"2024- 06- 07의 S&P500 종가는 5,346.99이며 S&P500 시가는 5,343.81를 기록했습니다. S&P500 고가는 5,375.08였고 S&P500 저가: 5,331.33입니다. S&P500 변동 퍼센티지는 -0.11%이고, 환율 종가는 1,378.80입니다. 환율 시가는 1,364.61입니다. 환율 고가는 1,380.67이며 환율 저가는 1,363.15입니다. 환율 변동은 1.11%입니다."
"2024- 06- 10의 S&P500 종가는 5,360.79이며 S&P500 시가는 5,341.22를 기록했습니다. S&P500 고가는 5,365.79였고 S&P500 저가: 5,331.52입니다. S&P500 변동 퍼센티지는 0.26%이고, 환율 종가는 1,373.60입니다. 환율 시가는 1,380.06입니다. 환율 고가는 1,383.31이며 환율 저가는 1,373.80입니다. 환율 변동은 -0.38%입니다."
"2024- 06- 11의 S&P500 종가는 5,375.32이며 S&P500 시가는 5,353.00를 기록했습니다. S&P500 고가는 5,375.95였고 S&P500 저가: 5,327.25입니다. S&P500 변동 퍼센티지는 0.27%이고, 환율 종가는 1,377.50입니다. 환율 시가는 1,374.81입니다. 환율 고가는 1,381.39이며 환율 저가는 1,374.55입니다. 환율 변동은 0.28%입니다."
"2024- 06- 12의 S&P500 종가는 5,421.03이며 S&P500 시가는 5,409.13를 기록했습니다. S&P500 고가는 5,447.25였고 S&P500 저가: 5,409.13입니다. S&P500 변동 퍼센티지는 0.85%이고, 환율 종가는 1,369.84입니다. 환율 시가는 1,378.70입니다. 환율 고가는 1,381.26이며 환율 저가는 1,363.59입니다. 환율 변동은 -0.56%입니다."
"2024- 06- 13의 S&P500 종가는 5,433.74이며 S&P500 시가는 5,441.93를 기록했습니다. S&P500 고가는 5,441.93였고 S&P500 저가: 5,402.51입니다. S&P500 변동 퍼센티지는 0.23%이고, 환율 종가는 1,375.35입니다. 환율 시가는 1,371.08입니다. 환율 고가는 1,378.97이며 환율 저가는 1,365.58입니다. 환율 변동은 0.40%입니다."
"2024- 06- 14의 S&P500 종가는 5,431.60이며 S&P500 시가는 5,424.08를 기록했습니다. S&P500 고가는 5,432.39였고 S&P500 저가: 5,403.75입니다. S&P500 변동 퍼센티지는 -0.04%이고, 환율 종가는 1,381.84입니다. 환율 시가는 1,376.47입니다. 환율 고가는 1,387.43이며 환율 저가는 1,374.67입니다. 환율 변동은 0.47%입니다."
"2024- 06- 17의 S&P500 종가는 5,473.23이며 S&P500 시가는 5,431.11를 기록했습니다. S&P500 고가는 5,488.50였고 S&P500 저가: 5,420.40입니다. S&P500 변동 퍼센티지는 0.77%이고, 환율 종가는 1,378.46입니다. 환율 시가는 1,383.31입니다. 환율 고가는 1,384.41이며 환율 저가는 1,377.81입니다. 환율 변동은 -0.24%입니다."
"2024- 06- 18의 S&P500 종가는 5,487.03이며 S&P500 시가는 5,476.15를 기록했습니다. S&P500 고가는 5,490.38였고 S&P500 저가: 5,471.32입니다. S&P500 변동 퍼센티지는 0.25%이고, 환율 종가는 1,378.64입니다. 환율 시가는 1,379.94입니다. 환율 고가는 1,385.97이며 환율 저가는 1,377.63입니다. 환율 변동은 0.01%입니다."
"2024- 06- 20의 S&P500 종가는 5,473.17이며 S&P500 시가는 5,499.99를 기록했습니다. S&P500 고가는 5,505.53였고 S&P500 저가: 5,455.56입니다. S&P500 변동 퍼센티지는 -0.25%이고, 환율 종가는 1,391.93입니다. 환율 시가는 1,382.45입니다. 환율 고가는 1,393.56이며 환율 저가는 1,380.03입니다. 환율 변동은 0.79%입니다."
"2024- 06- 21의 S&P500 종가는 5,464.62이며 S&P500 시가는 5,466.77를 기록했습니다. S&P500 고가는 5,478.31였고 S&P500 저가: 5,452.03입니다. S&P500 변동 퍼센티지는 -0.16%이고, 환율 종가는 1,387.01입니다. 환율 시가는 1,392.64입니다. 환율 고가는 1,393.94이며 환율 저가는 1,385.92입니다. 환율 변동은 -0.35%입니다."
