iter	Passed	Remaining
0	152	15060
1	154	7548
2	155	5037
3	157	3775
4	159	3022
5	160	2519
6	162	2158
7	164	1887
8	165	1677
9	167	1507
10	169	1371
11	171	1256
12	172	1157
13	174	1072
14	176	999
15	178	934
16	179	877
17	181	826
18	183	780
19	185	741
20	187	705
21	189	671
22	191	640
23	193	611
24	194	584
25	196	559
26	198	536
27	200	515
28	202	495
29	203	475
30	205	457
31	207	440
32	208	424
33	210	408
34	212	394
35	214	380
36	215	367
37	217	355
38	219	343
39	220	331
40	222	320
41	224	309
42	225	299
43	227	289
44	229	280
45	231	271
46	232	262
47	234	253
48	236	245
49	237	237
50	239	229
51	241	222
52	242	215
53	244	208
54	246	201
55	248	195
56	249	188
57	251	181
58	252	175
59	254	169
60	256	163
61	258	158
62	260	152
63	262	147
64	264	142
65	265	136
66	267	131
67	269	126
68	270	121
69	272	116
70	274	112
71	276	107
72	278	102
73	280	98
74	282	94
75	284	89
76	285	85
77	287	81
78	289	77
79	291	72
80	293	68
81	295	64
82	297	60
83	299	57
84	301	53
85	302	49
86	304	45
87	306	41
88	308	38
89	310	34
90	311	30
91	313	27
92	315	23
93	317	20
94	319	16
95	321	13
96	323	9
97	325	6
98	327	3
99	329	0
