일자,요일,중식계,석식계,month,corona,day_gap,중식_국,중식_메인1,중식_메인2,석식_국,석식_메인1,석식_메인2,출근,휴가비율,출장비율,야근비율,재택비율
2016-02-01,5,1039.0,331.0,2,0,0,오징어찌개,쇠불고기,계란찜,육개장,자반고등어구이,두부조림,2401.0,0.019223375624759707,0.05767012687427912,0.09912536443148688,0.0
2016-02-02,4,867.0,560.0,2,0,0,김치찌개,가자미튀김,모둠소세지구이,어묵국,유산슬,아삭고추무침,2378.0,0.019223375624759707,0.06651287966166859,0.13414634146341464,0.0
2016-02-03,3,1017.0,573.0,2,0,0,팽이장국,치킨핑거,쫄면야채무침,청국장찌개,황태양념구이,고기전,2365.0,0.021530180699730873,0.06920415224913495,0.04693446088794926,0.0
2016-02-04,2,978.0,525.0,2,0,0,쇠고기무국,주꾸미볶음,부추전,우동,멕시칸샐러드,군고구마,2277.0,0.03998462129950019,0.08458285274894271,0.15590689503732982,0.0
2016-02-05,1,925.0,330.0,2,0,1,떡국,돈육씨앗강정,우엉잡채,차돌박이찌개,닭갈비,감자소세지볶음,2142.0,0.10688196847366398,0.06958861976163014,0.015873015873015872,0.0
2016-02-11,2,1045.0,550.0,2,0,0,시래기국,훈제오리구이,도토리묵무침,맑은국,군만두,과일샐러드,2075.0,0.14725105728565935,0.05497885428681276,0.20096385542168674,0.0
2016-02-12,1,909.0,598.0,2,0,1,꽃게탕,돈육굴소스볶음,옥수수전,김치콩나물국,미니함박,어묵볶음,2056.0,0.14955786236063054,0.05997693194925029,0.045233463035019454,0.0
2016-02-15,5,1268.0,672.0,2,0,0,시금치국,닭감자조림,연두부*양념장,홍합미역국,등갈비김치찜,임연수구이,2310.0,0.03344867358708189,0.0784313725490196,0.20865800865800865,0.0
2016-02-16,4,1014.0,523.0,2,0,0,쇠고기무국,탕수어,오징어숙회무침,된장찌개,쇠불고기,해파리겨자채,2293.0,0.02768166089965398,0.09073433294886582,0.22939380723942435,0.0
2016-02-17,3,916.0,588.0,2,0,0,냉이된장국,쇠고기장조림,통도라지구이,맑은국,새우또띠아,쨔샤이무침,2273.0,0.029988465974625143,0.09611687812379854,0.010118785745710514,0.0
2016-02-18,2,910.0,489.0,2,0,0,유부장국,고구마치즈구이,해초무침,순두부찌개,명태조림,감자채볶음,2270.0,0.02960399846212995,0.09765474817377931,0.1616740088105727,0.0
2016-02-19,1,763.0,597.0,2,0,1,대구찌개,마늘간장치킨,새송이버섯볶음,설렁탕,김치전,야채스틱,2204.0,0.05574778931180315,0.09688581314878893,0.03130671506352087,0.0
2016-02-22,5,1298.0,645.0,2,0,0,쇠고기느타리국,갈치구이,호박꼬지&고사리&무나물,옹심이만두국,떡갈비조림,청포묵무침,2304.0,0.03460207612456748,0.07958477508650519,0.18836805555555555,0.0
2016-02-23,4,899.0,610.0,2,0,0,콩나물국,돈육간장볶음,버섯잡채,콩비지찌개,해물까스&타르타르소스,볶음쌀국수,2307.0,0.02191464821222607,0.09111880046136102,0.21153012570437799,0.0
2016-02-24,3,1022.0,514.0,2,0,0,팽이장국,소세지피망볶음,맛탕,열무된장국,매운돼지갈비찜,멸치호두볶음,2315.0,0.020761245674740483,0.08919646289888504,0.006047516198704104,0.0
2016-02-25,2,917.0,531.0,2,0,0,북어계란국,닭갈비,새싹두부구이,잔치국수,교자만두,멕시칸샐러드,2284.0,0.021530180699730873,0.10034602076124567,0.14667250437828372,0.0
2016-02-26,1,766.0,585.0,2,0,1,수제비국,오징어볶음,계란찜,닭개장,삼치구이,꽃맛살볶음,2179.0,0.05536332179930796,0.10688196847366398,0.019274896741624598,0.0
2016-02-29,5,869.0,344.0,2,0,1,얼갈이된장국,제육볶음,늙은호박전,버섯들깨탕,꽁치한마리구이,두부양념조림,1838.0,0.22875816993464052,0.06459054209919261,0.05984766050054407,0.0
2016-03-02,3,1127.0,631.0,3,0,0,쇠고기미역국,주꾸미볶음,맛살계란말이,된장찌개,버섯불고기,콩나물겨자채,2315.0,0.04839939024390244,0.06935975609756098,0.11274298056155507,0.0
2016-03-03,2,1000.0,473.0,3,0,0,근대된장국,탕수육,새송이버섯조림,우동,떡볶이,군고구마,2339.0,0.023246951219512195,0.08536585365853659,0.15006412997007268,0.0
2016-03-04,1,837.0,673.0,3,0,1,부대찌개,가자미튀김,메추리알조림,오징어국,미트볼조림,옥수수전,2294.0,0.03163109756097561,0.09413109756097561,0.03443766346992153,0.0
2016-03-07,5,1326.0,625.0,3,0,0,콩나물국,닭갈비,모둠묵*양념장,대구찌개,돈육굴소스볶음,감자채볶음,2379.0,0.019054878048780487,0.0743140243902439,0.19167717528373265,0.0
2016-03-08,4,1026.0,609.0,3,0,0,차돌박이찌개,고등어김치말이,소세지구이,가쯔오장국,수제고로케*케찹,과일샐러드,2365.0,0.017911585365853657,0.08079268292682927,0.18012684989429176,0.0
2016-03-09,3,901.0,523.0,3,0,0,북어국,돈육장조림,홍어무침,육개장,생선까스*탈탈소스,야채계란찜,2356.0,0.01638719512195122,0.0857469512195122,0.0,0.0
2016-03-10,2,847.0,525.0,3,0,0,고추장찌개,닭데리야끼조림,해물파전,짬뽕,개성감자만두,타코야끼,2324.0,0.020960365853658538,0.09336890243902439,0.12478485370051635,0.0
2016-03-11,1,728.0,591.0,3,0,1,배추된장국,수제돈가스,탕평채,연두부탕,코다리무조림,고추잡채*꽃빵,2241.0,0.041158536585365856,0.10480182926829268,0.03391343150379295,0.0
2016-03-14,5,1286.0,586.0,3,0,0,어묵국,돈육고추장볶음,모둠양채쌈*쌈장,달래된장찌개,간장찜닭,통도라지구이,2380.0,0.023246951219512195,0.06974085365853659,0.15798319327731092,0.0
2016-03-15,4,958.0,545.0,3,0,0,쑥국,소불고기,골뱅이무침*소면,계란파국,참치야채전,꽃맛살샐러드,2355.0,0.014481707317073171,0.08803353658536585,0.16942675159235668,0.0
2016-03-16,3,998.0,531.0,3,0,0,콩나물김치국,미니채소떡갈비,두부계란부침,뼈해장국,해물청경채볶음,버섯메밀전,2361.0,0.019054878048780487,0.08117378048780488,0.0,0.0
2016-03-17,2,832.0,548.0,3,0,0,사골우거지국,탕수어,파래김*양념장,양송이스프,미니햄버거,단호박범벅,2330.0,0.019817073170731708,0.09222560975609756,0.14034334763948497,0.0
2016-03-18,1,757.0,521.0,3,0,1,시금치국,훈제오리구이,연근땅콩조림,닭곰탕,임연수찜,어묵곤약볶음,2229.0,0.04496951219512195,0.1055640243902439,0.02557200538358008,0.0
2016-03-21,5,1030.0,605.0,3,0,0,꽃게탕,버섯불고기,계란말이,수제비국,아귀콩나물찜,새송이버섯볶음,2354.0,0.024771341463414635,0.078125,0.13976210705182668,0.0
2016-03-22,4,917.0,585.0,3,0,0,쇠고기샤브국,코다리강정,두부&김치볶음,가쯔오장국,찹쌀순대볶음,궁중떡찜,2375.0,0.015625,0.07926829268292683,0.1591578947368421,0.0
2016-03-23,3,963.0,544.0,3,0,0,맑은국,치킨텐더*요거트D,땅콩조림,알탕,동그랑땡전,마파두부,2346.0,0.01600609756097561,0.0899390243902439,0.0,0.0
2016-03-24,2,876.0,507.0,3,0,0,북어계란국,쇠고기장조림,오징어초무침,미소장국,군만두,콘샐러드,2320.0,0.020198170731707318,0.09565548780487805,0.12629310344827585,0.0
2016-03-25,1,861.0,523.0,3,0,1,닭개장,자반고등어구이,비엔나볶음,냉이된장찌개,누룽지탕수육,감자채볶음,2251.0,0.037347560975609755,0.10480182926829268,0.02621057307863172,0.0
2016-03-28,5,1193.0,637.0,3,0,0,얼갈이된장국,닭갈비,해파리냉채,콩비지찌개,유산슬,해물까스*탈탈소스,2350.0,0.02934451219512195,0.07507621951219512,0.12723404255319148,0.0
2016-03-29,4,892.0,465.0,3,0,0,옹심이만두국,주꾸미볶음,새송이버섯전,유부장국,돈육씨앗강정,해초무침,2327.0,0.019817073170731708,0.09336890243902439,0.11130210571551354,0.0
2016-03-30,3,1033.0,463.0,3,0,0,쪽파국,오징어튀김,알감자버터구이,어묵국,등갈비김치찜,청포묵무침,2346.0,0.018292682926829267,0.08765243902439024,0.0,0.0
2016-03-31,2,781.0,526.0,3,0,0,매운콩나물국,돈육굴소스볶음,동태전,잔치국수,또띠아피자,과일샐러드,2340.0,0.013719512195121951,0.09451219512195122,0.06752136752136752,0.0
2016-04-01,1,661.0,591.0,4,0,1,버섯들깨탕,갈치조림,우엉잡채,쇠고기미역국,순살깐풍기,계란찜,2286.0,0.03897086643965191,0.09610291335603481,0.020559930008748905,0.0
2016-04-04,5,1237.0,614.0,4,0,0,순두부찌개,쇠불고기,브로컬리맛살볶음,된장찌개,고등어조림,고기전,2360.0,0.02345819144911086,0.08361710177828226,0.15550847457627118,0.0
2016-04-05,4,840.0,555.0,4,0,0,북어국,오징어볶음*소면,모둠소시지구이,가쯔오장국,감자치즈구이,꽃맛살샐러드,2370.0,0.01172909572455543,0.09156261823685206,0.15611814345991562,0.0
2016-04-06,3,876.0,492.0,4,0,0,올갱이아욱국,제육볶음,두부조림,매운버섯국,찜닭,탕평채,2357.0,0.013999243284146803,0.094211123723042,0.0,0.0
2016-04-07,2,853.0,524.0,4,0,0,어묵국,매운돼지갈비찜,해물파전,우동,야채튀김,조각사과,2338.0,0.017782822550132426,0.09761634506242906,0.14499572284003423,0.0
2016-04-08,1,764.0,542.0,4,0,1,배추된장국,순살양념치킨,메추리알조림,오징어국,미니함박,멸치호두볶음,2273.0,0.032917139614074914,0.10707529322739312,0.028156621205455347,0.0
2016-04-11,5,1225.0,536.0,4,0,0,시래기국,훈제오리구이,무쌈/양파절임,쇠고기무국,가자미찜,계란야채말이,2358.0,0.031025349981082105,0.07680665909950814,0.1662425784563189,0.0
2016-04-12,4,771.0,500.0,4,0,1,부대찌개,쇠고기단호박조림,열무나물,유부주머니국,떡볶이,단무지무침,2342.0,0.028755202421490732,0.0851305334846765,0.10204953031596925,0.0
2016-04-14,2,969.0,562.0,4,0,0,수제비국,돈육굴소스볶음,양배추쌈,팽이버섯장국,새우또띠아,견과류조림,2285.0,0.0401059402194476,0.09534619750283768,0.14266958424507659,0.0
2016-04-15,1,579.0,582.0,4,0,1,냉이된장찌개,닭데리야끼조림,도라지초무침,들깨미역국,수제돈가스,감자범벅,2231.0,0.04956488838441166,0.10631857737419599,0.03675481846705513,0.0
2016-04-18,5,1120.0,525.0,4,0,0,배추된장국,돈육강정,콩나물잡채,꽃게탕,유산슬,야채계란찜,2337.0,0.03064699205448354,0.0851305334846765,0.14120667522464697,0.0
2016-04-19,4,980.0,449.0,4,0,0,육개장,꽁치한마리구이,고기전,유부장국,새싹피자,과일샐러드,2360.0,0.01664774877033674,0.09042754445705638,0.16398305084745762,0.0
