Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
1,2024,K리그1,하나은행 K리그1 2024,61,2024/05/04,서울,울산,서울 월드컵,52600,6787,주말
2,2024,K리그1,하나은행 K리그1 2024,12,2024/03/10,서울,인천,서울 월드컵,51670,4307,주말
3,2024,K리그1,하나은행 K리그1 2024,218,2024/11/10,서울,울산,서울 월드컵,37288,2955,주말
4,2024,K리그1,하나은행 K리그1 2024,165,2024/08/24,서울,강원,서울 월드컵,34086,3749,주말
5,2024,K리그1,하나은행 K리그1 2024,192,2024/09/29,서울,수원FC,서울 월드컵,31037,1111,주말
6,2024,K리그1,하나은행 K리그1 2024,15,2024/03/16,서울,제주,서울 월드컵,29536,1028,주말
7,2024,K리그1,하나은행 K리그1 2024,213,2024/11/02,서울,포항,서울 월드컵,29377,1435,주말
8,2024,K리그1,하나은행 K리그1 2024,38,2024/04/13,서울,포항,서울 월드컵,29051,2396,주말
9,2024,K리그1,하나은행 K리그1 2024,91,2024/06/01,울산,전북,울산 문수,29007,3558,주말
10,2024,K리그1,하나은행 K리그1 2024,1,2024/03/01,울산,포항,울산 문수,28683,2321, 
11,2024,K리그1,하나은행 K리그1 2024,46,2024/04/20,서울,전북,서울 월드컵,28048,4296,주말
12,2024,K리그1,하나은행 K리그1 2024,76,2024/05/19,서울,대구,서울 월드컵,27365,1840,주말
13,2024,K리그1,하나은행 K리그1 2024,177,2024/09/14,서울,대전,서울 월드컵,26790,2038,주말
14,2024,K리그1,하나은행 K리그1 2024,19,2024/03/30,전북,울산,전주 월드컵,25782,2618,주말
15,2024,K리그1,하나은행 K리그1 2024,106,2024/06/22,서울,수원FC,서울 월드컵,25157,1119,주말
16,2024,K리그1,하나은행 K리그1 2024,2,2024/03/01,전북,대전,전주 월드컵,24758,3332, 
17,2024,K리그1,하나은행 K리그1 2024,193,2024/10/06,울산,김천,울산 문수,24417,639,주말
18,2024,K리그1,하나은행 K리그1 2024,223,2024/11/23,울산,수원FC,울산 문수,24096,416,주말
19,2024,K리그1,하나은행 K리그1 2024,100,2024/06/16,울산,서울,울산 문수,23856,1198,주말
20,2024,K리그1,하나은행 K리그1 2024,172,2024/09/01,전북,서울,전주 월드컵,22749,1918,주말
21,2024,K리그1,하나은행 K리그1 2024,169,2024/08/31,울산,포항,울산 문수,22106,2551,주말
22,2024,K리그1,하나은행 K리그1 2024,175,2024/09/13,울산,강원,울산 문수,22010,596, 
23,2024,K리그1,하나은행 K리그1 2024,190,2024/09/28,전북,제주,전주 월드컵,21386,356,주말
24,2024,K리그1,하나은행 K리그1 2024,96,2024/06/02,서울,광주,서울 월드컵,21100,903,주말
25,2024,K리그1,하나은행 K리그1 2024,133,2024/07/13,울산,서울,울산 문수,21064,1826,주말
26,2024,K리그1,하나은행 K리그1 2024,54,2024/04/28,울산,제주,울산 문수,20253,1769,주말
27,2024,K리그1,하나은행 K리그1 2024,222,2024/11/10,전북,대구,전주 월드컵,18985,2516,주말
28,2024,K리그1,하나은행 K리그1 2024,143,2024/07/21,서울,김천,서울 월드컵,18577,370,주말
29,2024,K리그1,하나은행 K리그1 2024,139,2024/07/20,전북,울산,전주 월드컵,18573,3035,주말
30,2024,K리그1,하나은행 K리그1 2024,186,2024/09/22,대전,전북,대전 월드컵,18473,5048,주말
31,2024,K리그1,하나은행 K리그1 2024,201,2024/10/19,전북,대전,전주 월드컵,18261,2189,주말
32,2024,K리그1,하나은행 K리그1 2024,212,2024/11/02,전북,인천,전주 월드컵,18244,2516,주말
33,2024,K리그1,하나은행 K리그1 2024,158,2024/08/16,서울,제주,서울 월드컵,18029,477, 
34,2024,K리그1,하나은행 K리그1 2024,153,2024/08/10,울산,대구,울산 문수,17372,1996,주말
35,2024,K리그1,하나은행 K리그1 2024,13,2024/03/16,대전,강원,대전 월드컵,17191,621,주말
36,2024,K리그1,하나은행 K리그1 2024,71,2024/05/12,울산,김천,울산 문수,16394,216,주말
37,2024,K리그1,하나은행 K리그1 2024,164,2024/08/24,인천,전북,인천 전용,15422,2122,주말
38,2024,K리그1,하나은행 K리그1 2024,18,2024/03/17,울산,인천,울산 문수,15233,422,주말
39,2024,K리그1,하나은행 K리그1 2024,149,2024/07/27,인천,서울,인천 전용,15213,2122,주말
40,2024,K리그1,하나은행 K리그1 2024,151,2024/08/09,전북,광주,전주 월드컵,15178,868, 
41,2024,K리그1,하나은행 K리그1 2024,4,2024/03/02,인천,수원FC,인천 전용,15060,1349,주말
42,2024,K리그1,하나은행 K리그1 2024,132,2024/07/10,서울,대전,서울 월드컵,15037,872, 
43,2024,K리그1,하나은행 K리그1 2024,159,2024/08/17,전북,포항,전주 월드컵,14814,1256,주말
44,2024,K리그1,하나은행 K리그1 2024,80,2024/05/25,울산,대전,울산 문수,14676,630,주말
45,2024,K리그1,하나은행 K리그1 2024,220,2024/11/10,인천,대전,인천 전용,14633,2119,주말
46,2024,K리그1,하나은행 K리그1 2024,67,2024/05/11,인천,서울,인천 전용,14435,2116,주말
47,2024,K리그1,하나은행 K리그1 2024,196,2024/10/06,인천,강원,인천 전용,14434,2119,주말
48,2024,K리그1,하나은행 K리그1 2024,31,2024/04/06,울산,수원FC,울산 문수,14215,220,주말
49,2024,K리그1,하나은행 K리그1 2024,185,2024/09/22,인천,울산,인천 전용,13888,2100,주말
50,2024,K리그1,하나은행 K리그1 2024,39,2024/04/13,울산,강원,울산 문수,13874,382,주말
51,2024,K리그1,하나은행 K리그1 2024,53,2024/04/28,전북,대구,전주 월드컵,13642,1071,주말
52,2024,K리그1,하나은행 K리그1 2024,81,2024/05/25,포항,서울,포항 스틸야드,13467,1130,주말
53,2024,K리그1,하나은행 K리그1 2024,211,2024/11/01,울산,강원,울산 종합,13438,724, 
54,2024,K리그1,하나은행 K리그1 2024,208,2024/10/27,대전,대구,대전 월드컵,13405,3405,주말
55,2024,K리그1,하나은행 K리그1 2024,113,2024/06/26,서울,강원,서울 월드컵,13303,782, 
56,2024,K리그1,하나은행 K리그1 2024,150,2024/07/28,포항,김천,포항 스틸야드,13234,833,주말
57,2024,K리그1,하나은행 K리그1 2024,207,2024/10/27,포항,울산,포항 스틸야드,13212,1127,주말
58,2024,K리그1,하나은행 K리그1 2024,161,2024/08/18,울산,수원FC,울산 문수,13204,165,주말
59,2024,K리그1,하나은행 K리그1 2024,162,2024/08/18,강원,광주,강릉 종합,13170,379,주말
60,2024,K리그1,하나은행 K리그1 2024,118,2024/06/30,포항,울산,포항 스틸야드,13079,1130,주말
61,2024,K리그1,하나은행 K리그1 2024,28,2024/04/03,서울,김천,서울 월드컵,13040,188, 
62,2024,K리그1,하나은행 K리그1 2024,70,2024/05/12,전북,수원FC,전주 월드컵,13009,317,주말
63,2024,K리그1,하나은행 K리그1 2024,62,2024/05/04,포항,전북,포항 스틸야드,13002,1416,주말
64,2024,K리그1,하나은행 K리그1 2024,228,2024/11/24,대전,제주,대전 월드컵,12743,485,주말
65,2024,K리그1,하나은행 K리그1 2024,204,2024/10/20,강원,서울,강릉 종합,12742,1000,주말
66,2024,K리그1,하나은행 K리그1 2024,49,2024/04/27,대전,서울,대전 월드컵,12700,1866,주말
67,2024,K리그1,하나은행 K리그1 2024,189,2024/09/28,강원,대구,강릉 종합,12677,939,주말
68,2024,K리그1,하나은행 K리그1 2024,116,2024/06/29,전북,서울,전주 월드컵,12508,1824,주말
69,2024,K리그1,하나은행 K리그1 2024,123,2024/07/06,제주,서울,제주 월드컵,12409,1779,주말
70,2024,K리그1,하나은행 K리그1 2024,174,2024/09/01,강원,수원FC,강릉 종합,12292,290,주말
71,2024,K리그1,하나은행 K리그1 2024,146,2024/07/26,강원,전북,강릉 종합,12272,1000, 
72,2024,K리그1,하나은행 K리그1 2024,6,2024/03/03,대구,김천,대구iM뱅크PARK,12133,622,주말
73,2024,K리그1,하나은행 K리그1 2024,35,2024/04/07,대구,서울,대구iM뱅크PARK,12088,622,주말
74,2024,K리그1,하나은행 K리그1 2024,195,2024/10/06,대구,전북,대구iM뱅크PARK,12072,622,주말
75,2024,K리그1,하나은행 K리그1 2024,14,2024/03/16,대구,수원FC,대구iM뱅크PARK,11997,618,주말
76,2024,K리그1,하나은행 K리그1 2024,170,2024/08/31,대구,인천,대구iM뱅크PARK,11994,622,주말
77,2024,K리그1,하나은행 K리그1 2024,83,2024/05/26,대구,강원,대구iM뱅크PARK,11977,621,주말
78,2024,K리그1,하나은행 K리그1 2024,68,2024/05/11,대구,광주,대구iM뱅크PARK,11967,622,주말
79,2024,K리그1,하나은행 K리그1 2024,216,2024/11/03,대구,제주,대구iM뱅크PARK,11940,622,주말
80,2024,K리그1,하나은행 K리그1 2024,124,2024/07/06,대구,포항,대구iM뱅크PARK,11881,622,주말
81,2024,K리그1,하나은행 K리그1 2024,182,2024/09/21,대구,서울,대구iM뱅크PARK,11837,622,주말
82,2024,K리그1,하나은행 K리그1 2024,227,2024/11/24,대구,인천,대구iM뱅크PARK,11812,615,주말
83,2024,K리그1,하나은행 K리그1 2024,79,2024/05/25,전북,김천,전주 월드컵,11726,197,주말
84,2024,K리그1,하나은행 K리그1 2024,20,2024/03/30,인천,대전,인천 전용,11581,1402,주말
85,2024,K리그1,하나은행 K리그1 2024,105,2024/06/22,강원,김천,강릉 종합,11578,104,주말
86,2024,K리그1,하나은행 K리그1 2024,101,2024/06/16,전북,인천,전주 월드컵,11477,672,주말
87,2024,K리그1,하나은행 K리그1 2024,57,2024/05/01,대구,울산,대구iM뱅크PARK,11466,622, 
88,2024,K리그1,하나은행 K리그1 2024,225,2024/11/23,강원,포항,강릉 종합,11426,553,주말
89,2024,K리그1,하나은행 K리그1 2024,148,2024/07/27,대구,대전,대구iM뱅크PARK,11373,622,주말
90,2024,K리그1,하나은행 K리그1 2024,48,2024/04/21,대구,대전,대구iM뱅크PARK,11330,620,주말
91,2024,K리그1,하나은행 K리그1 2024,37,2024/04/13,전북,광주,전주 월드컵,11229,865,주말
92,2024,K리그1,하나은행 K리그1 2024,188,2024/09/27,대전,울산,대전 월드컵,11219,1885, 
93,2024,K리그1,하나은행 K리그1 2024,34,2024/04/07,전북,강원,전주 월드컵,11215,296,주말
94,2024,K리그1,하나은행 K리그1 2024,8,2024/03/09,포항,대구,포항 스틸야드,10930,1752,주말
95,2024,K리그1,하나은행 K리그1 2024,36,2024/04/07,대전,포항,대전 월드컵,10761,971,주말
96,2024,K리그1,하나은행 K리그1 2024,142,2024/07/21,대구,광주,대구iM뱅크PARK,10721,318,주말
97,2024,K리그1,하나은행 K리그1 2024,156,2024/08/11,포항,서울,포항 스틸야드,10719,1089,주말
98,2024,K리그1,하나은행 K리그1 2024,140,2024/07/20,강원,제주,강릉 종합,10710,129,주말
99,2024,K리그1,하나은행 K리그1 2024,163,2024/08/24,포항,대구,포항 스틸야드,10691,1130,주말
100,2024,K리그1,하나은행 K리그1 2024,103,2024/06/22,대구,전북,대구iM뱅크PARK,10540,622,주말
101,2024,K리그1,하나은행 K리그1 2024,73,2024/05/18,대전,인천,대전 월드컵,10535,1046,주말
102,2024,K리그1,하나은행 K리그1 2024,125,2024/07/07,대전,전북,대전 월드컵,10378,2964,주말
103,2024,K리그1,하나은행 K리그1 2024,126,2024/07/07,강원,광주,강릉 종합,10334,120,주말
104,2024,K리그1,하나은행 K리그1 2024,141,2024/07/21,인천,수원FC,인천 전용,10303,687,주말
105,2024,K리그1,하나은행 K리그1 2024,111,2024/06/26,울산,대구,울산 문수,10273,731, 
106,2024,K리그1,하나은행 K리그1 2024,23,2024/03/31,강원,서울,춘천 송암,10144,1407,주말
107,2024,K리그1,하나은행 K리그1 2024,58,2024/05/01,인천,전북,인천 전용,10094,2116, 
108,2024,K리그1,하나은행 K리그1 2024,65,2024/05/06,제주,대구,제주 월드컵,10033,479, 
109,2024,K리그1,하나은행 K리그1 2024,102,2024/06/16,대구,제주,대구iM뱅크PARK,9885,194,주말
110,2024,K리그1,하나은행 K리그1 2024,157,2024/08/16,대구,김천,대구iM뱅크PARK,9817,374, 
111,2024,K리그1,하나은행 K리그1 2024,99,2024/06/15,강원,수원FC,춘천 송암,9704,767,주말
112,2024,K리그1,하나은행 K리그1 2024,94,2024/06/02,대전,대구,대전 월드컵,9649,2023,주말
113,2024,K리그1,하나은행 K리그1 2024,72,2024/05/12,포항,제주,포항 스틸야드,9577,76,주말
114,2024,K리그1,하나은행 K리그1 2024,7,2024/03/09,수원FC,전북,수원 종합,9557,2100,주말
115,2024,K리그1,하나은행 K리그1 2024,198,2024/10/06,포항,수원FC,포항 스틸야드,9513,246,주말
116,2024,K리그1,하나은행 K리그1 2024,129,2024/07/10,울산,광주,울산 문수,9444,122, 
117,2024,K리그1,하나은행 K리그1 2024,183,2024/09/22,포항,강원,포항 스틸야드,9427,845,주말
118,2024,K리그1,하나은행 K리그1 2024,42,2024/04/14,인천,대구,인천 전용,9400,874,주말
119,2024,K리그1,하나은행 K리그1 2024,205,2024/10/26,강원,김천,강릉 종합,9383,107,주말
120,2024,K리그1,하나은행 K리그1 2024,32,2024/04/06,인천,제주,인천 전용,9293,339,주말
121,2024,K리그1,하나은행 K리그1 2024,16,2024/03/17,포항,광주,포항 스틸야드,9203,368,주말
122,2024,K리그1,하나은행 K리그1 2024,179,2024/09/14,수원FC,전북,수원 종합,9136,2076,주말
123,2024,K리그1,하나은행 K리그1 2024,82,2024/05/25,인천,광주,인천 전용,9107,816,주말
124,2024,K리그1,하나은행 K리그1 2024,10,2024/03/10,제주,대전,제주 월드컵,9083,358,주말
125,2024,K리그1,하나은행 K리그1 2024,219,2024/11/10,포항,김천,포항 스틸야드,8632,283,주말
126,2024,K리그1,하나은행 K리그1 2024,160,2024/08/17,대전,인천,대전 월드컵,8618,1590,주말
127,2024,K리그1,하나은행 K리그1 2024,97,2024/06/15,포항,대전,포항 스틸야드,8422,694,주말
128,2024,K리그1,하나은행 K리그1 2024,87,2024/05/29,인천,울산,인천 전용,8413,1975, 
129,2024,K리그1,하나은행 K리그1 2024,209,2024/10/27,인천,광주,인천 전용,8257,631,주말
130,2024,K리그1,하나은행 K리그1 2024,107,2024/06/23,인천,포항,인천 전용,8198,859,주말
131,2024,K리그1,하나은행 K리그1 2024,74,2024/05/19,광주,전북,광주 전용,8091,1562,주말
132,2024,K리그1,하나은행 K리그1 2024,43,2024/05/15,광주,울산,광주 전용,8069,1561, 
133,2024,K리그1,하나은행 K리그1 2024,206,2024/10/26,수원FC,서울,수원 종합,7971,2076,주말
134,2024,K리그1,하나은행 K리그1 2024,226,2024/11/24,광주,전북,광주 전용,7957,1420,주말
135,2024,K리그1,하나은행 K리그1 2024,26,2024/04/02,대전,울산,대전 월드컵,7927,788, 
136,2024,K리그1,하나은행 K리그1 2024,77,2024/05/19,강원,울산,춘천 송암,7850,832,주말
137,2024,K리그1,하나은행 K리그1 2024,3,2024/03/02,광주,서울,광주 전용,7805,1420,주말
138,2024,K리그1,하나은행 K리그1 2024,178,2024/09/14,제주,대구,제주 월드컵,7746,481,주말
139,2024,K리그1,하나은행 K리그1 2024,45,2024/04/20,포항,김천,포항 스틸야드,7673,144,주말
140,2024,K리그1,하나은행 K리그1 2024,221,2024/11/10,제주,광주,제주 월드컵,7651,116,주말
141,2024,K리그1,하나은행 K리그1 2024,56,2024/04/30,수원FC,서울,수원 종합,7570,1371, 
142,2024,K리그1,하나은행 K리그1 2024,52,2024/04/28,포항,인천,포항 스틸야드,7564,380,주말
143,2024,K리그1,하나은행 K리그1 2024,92,2024/06/01,수원FC,인천,수원 종합,7511,1636,주말
144,2024,K리그1,하나은행 K리그1 2024,173,2024/09/01,대전,광주,대전 월드컵,7445,615,주말
145,2024,K리그1,하나은행 K리그1 2024,122,2024/07/05,수원FC,울산,수원 종합,7378,1626, 
146,2024,K리그1,하나은행 K리그1 2024,104,2024/06/22,대전,광주,대전 월드컵,7350,777,주말
147,2024,K리그1,하나은행 K리그1 2024,145,2024/07/26,제주,울산,제주 월드컵,7346,1011, 
148,2024,K리그1,하나은행 K리그1 2024,24,2024/03/31,광주,대구,광주 전용,7313,965,주말
149,2024,K리그1,하나은행 K리그1 2024,127,2024/07/09,대구,인천,대구iM뱅크PARK,7152,218, 
150,2024,K리그1,하나은행 K리그1 2024,134,2024/07/13,대전,강원,대전 월드컵,7147,791,주말
151,2024,K리그1,하나은행 K리그1 2024,203,2024/10/19,인천,제주,인천 전용,7138,325,주말
152,2024,K리그1,하나은행 K리그1 2024,121,2024/07/05,인천,김천,인천 전용,7012,170, 
153,2024,K리그1,하나은행 K리그1 2024,217,2024/11/09,수원FC,강원,수원 종합,6778,1986,주말
154,2024,K리그1,하나은행 K리그1 2024,197,2024/10/06,제주,대전,제주 월드컵,6766,585,주말
155,2024,K리그1,하나은행 K리그1 2024,144,2024/07/21,대전,포항,대전 월드컵,6635,1003,주말
156,2024,K리그1,하나은행 K리그1 2024,108,2024/06/23,제주,울산,제주 월드컵,6557,857,주말
157,2024,K리그1,하나은행 K리그1 2024,112,2024/06/26,전북,포항,전주 월드컵,6546,246, 
158,2024,K리그1,하나은행 K리그1 2024,95,2024/06/02,제주,강원,제주 월드컵,6534,273,주말
159,2024,K리그1,하나은행 K리그1 2024,210,2024/10/27,제주,전북,제주 월드컵,6376,941,주말
160,2024,K리그1,하나은행 K리그1 2024,194,2024/10/06,광주,서울,광주 전용,6357,1234,주말
161,2024,K리그1,하나은행 K리그1 2024,187,2024/09/27,포항,인천,포항 스틸야드,6332,331, 
162,2024,K리그1,하나은행 K리그1 2024,154,2024/08/10,제주,인천,제주 월드컵,6271,453,주말
163,2024,K리그1,하나은행 K리그1 2024,120,2024/06/30,인천,강원,인천 전용,6164,663,주말
164,2024,K리그1,하나은행 K리그1 2024,22,2024/03/30,수원FC,김천,수원 종합,6145,147,주말
165,2024,K리그1,하나은행 K리그1 2024,90,2024/05/29,강원,전북,춘천 송암,6125,429, 
166,2024,K리그1,하나은행 K리그1 2024,21,2024/03/30,제주,포항,제주 월드컵,6036,254,주말
167,2024,K리그1,하나은행 K리그1 2024,47,2024/04/21,강원,인천,춘천 송암,6025,718,주말
168,2024,K리그1,하나은행 K리그1 2024,5,2024/03/02,강원,제주,춘천 송암,6021,215,주말
169,2024,K리그1,하나은행 K리그1 2024,224,2024/11/23,김천,서울,김천 종합,5943,1937,주말
170,2024,K리그1,하나은행 K리그1 2024,9,2024/03/09,김천,울산,김천 종합,5852,1252,주말
171,2024,K리그1,하나은행 K리그1 2024,11,2024/03/10,광주,강원,광주 전용,5786,165,주말
172,2024,K리그1,하나은행 K리그1 2024,202,2024/10/19,김천,울산,김천 종합,5636,2348,주말
173,2024,K리그1,하나은행 K리그1 2024,137,2024/07/14,수원FC,대구,수원 종합,5594,554,주말
174,2024,K리그1,하나은행 K리그1 2024,131,2024/07/10,전북,제주,전주 월드컵,5560,124, 
175,2024,K리그1,하나은행 K리그1 2024,171,2024/09/01,제주,김천,제주 월드컵,5469,152,주말
176,2024,K리그1,하나은행 K리그1 2024,50,2024/04/27,광주,수원FC,광주 전용,5440,229,주말
177,2024,K리그1,하나은행 K리그1 2024,117,2024/06/29,대전,수원FC,대전 월드컵,5290,319,주말
178,2024,K리그1,하나은행 K리그1 2024,130,2024/07/10,포항,강원,포항 스틸야드,5287,163, 
179,2024,K리그1,하나은행 K리그1 2024,155,2024/08/10,수원FC,대전,수원 종합,5223,945,주말
180,2024,K리그1,하나은행 K리그1 2024,25,2024/04/02,포항,수원FC,포항 스틸야드,5143,50, 
181,2024,K리그1,하나은행 K리그1 2024,78,2024/05/19,수원FC,포항,수원 종합,5126,849,주말
182,2024,K리그1,하나은행 K리그1 2024,166,2024/08/25,광주,울산,광주 전용,5081,721,주말
183,2024,K리그1,하나은행 K리그1 2024,55,2024/04/30,대전,김천,대전 월드컵,4974,98, 
184,2024,K리그1,하나은행 K리그1 2024,41,2024/04/14,수원FC,대전,수원 종합,4961,798,주말
185,2024,K리그1,하나은행 K리그1 2024,88,2024/05/29,대전,제주,대전 월드컵,4759,0, 
186,2024,K리그1,하나은행 K리그1 2024,215,2024/11/02,광주,대전,광주 전용,4666,1254,주말
187,2024,K리그1,하나은행 K리그1 2024,199,2024/10/18,포항,수원FC,포항 스틸야드,4611,67, 
188,2024,K리그1,하나은행 K리그1 2024,93,2024/06/01,김천,포항,김천 종합,4574,1121,주말
189,2024,K리그1,하나은행 K리그1 2024,98,2024/06/15,광주,김천,광주 전용,4561,144,주말
190,2024,K리그1,하나은행 K리그1 2024,59,2024/05/01,제주,광주,제주 월드컵,4502,192, 
191,2024,K리그1,하나은행 K리그1 2024,135,2024/07/13,제주,포항,제주 월드컵,4412,416,주말
192,2024,K리그1,하나은행 K리그1 2024,17,2024/03/17,김천,전북,김천 종합,4300,1247,주말
193,2024,K리그1,하나은행 K리그1 2024,69,2024/05/11,강원,대전,춘천 송암,4263,349,주말
194,2024,K리그1,하나은행 K리그1 2024,147,2024/07/27,광주,수원FC,광주 전용,4239,245,주말
195,2024,K리그1,하나은행 K리그1 2024,66,2024/05/06,광주,대전,광주 전용,4221,648, 
196,2024,K리그1,하나은행 K리그1 2024,40,2024/04/13,제주,김천,제주 월드컵,4211,60,주말
197,2024,K리그1,하나은행 K리그1 2024,60,2024/05/01,강원,포항,춘천 송암,4157,229, 
198,2024,K리그1,하나은행 K리그1 2024,115,2024/06/29,김천,대구,김천 종합,3832,1799,주말
199,2024,K리그1,하나은행 K리그1 2024,109,2024/06/25,수원FC,광주,수원 종합,3596,235, 
200,2024,K리그1,하나은행 K리그1 2024,138,2024/07/14,김천,전북,김천 종합,3524,1069,주말
201,2024,K리그1,하나은행 K리그1 2024,184,2024/09/22,광주,제주,광주 전용,3468,110,주말
202,2024,K리그1,하나은행 K리그1 2024,29,2024/04/03,제주,전북,제주 월드컵,3426,553, 
203,2024,K리그1,하나은행 K리그1 2024,152,2024/08/09,김천,강원,김천 종합,3402,588, 
204,2024,K리그1,하나은행 K리그1 2024,86,2024/05/28,김천,서울,김천 종합,3372,328, 
205,2024,K리그1,하나은행 K리그1 2024,180,2024/09/15,김천,인천,김천 종합,3315,662,주말
206,2024,K리그1,하나은행 K리그1 2024,167,2024/08/25,수원FC,제주,수원 종합,3275,201,주말
207,2024,K리그1,하나은행 K리그1 2024,168,2024/08/25,김천,대전,김천 종합,3261,1028,주말
208,2024,K리그1,하나은행 K리그1 2024,191,2024/09/28,김천,광주,김천 종합,3238,210,주말
209,2024,K리그1,하나은행 K리그1 2024,176,2024/09/13,광주,포항,광주 전용,3136,350, 
210,2024,K리그1,하나은행 K리그1 2024,181,2024/09/21,수원FC,김천,수원 종합,3059,162,주말
211,2024,K리그1,하나은행 K리그1 2024,30,2024/04/03,강원,대구,춘천 송암,3056,160, 
212,2024,K리그1,하나은행 K리그1 2024,84,2024/05/26,제주,수원FC,제주 월드컵,3052,128,주말
213,2024,K리그1,하나은행 K리그1 2024,114,2024/06/26,제주,인천,제주 월드컵,3044,377, 
214,2024,K리그1,하나은행 K리그1 2024,33,2024/04/06,김천,광주,김천 종합,3021,331,주말
215,2024,K리그1,하나은행 K리그1 2024,63,2024/05/05,수원FC,강원,수원 종합,3008,572,주말
216,2024,K리그1,하나은행 K리그1 2024,136,2024/07/14,광주,인천,광주 전용,2969,251,주말
217,2024,K리그1,하나은행 K리그1 2024,85,2024/05/28,광주,포항,광주 전용,2687,160, 
218,2024,K리그1,하나은행 K리그1 2024,64,2024/05/05,김천,인천,김천 종합,2651,507,주말
219,2024,K리그1,하나은행 K리그1 2024,44,2024/04/20,수원FC,제주,수원 종합,2522,152,주말
220,2024,K리그1,하나은행 K리그1 2024,200,2024/10/18,광주,대구,광주 전용,2447,658, 
221,2024,K리그1,하나은행 K리그1 2024,119,2024/06/30,광주,제주,광주 전용,2389,100,주말
222,2024,K리그1,하나은행 K리그1 2024,51,2024/04/27,김천,강원,김천 종합,2338,277,주말
223,2024,K리그1,하나은행 K리그1 2024,89,2024/05/29,수원FC,대구,수원 종합,2328,362, 
224,2024,K리그1,하나은행 K리그1 2024,75,2024/05/18,김천,제주,김천 종합,2279,113,주말
225,2024,K리그1,하나은행 K리그1 2024,110,2024/06/25,김천,대전,김천 종합,1925,437, 
