월,관중수,경기당 관중수,더비매치
2018-03-01,176387,8018,4
2018-04-01,151995,4000,3
2018-05-01,135081,5628,3
2018-07-01,180025,5001,4
2018-08-01,167477,4785,2
2018-09-01,198168,6393,4
2018-10-01,102095,5672,1
2018-11-01,83228,4624,2
2018-12-01,46864,7811,1
2019-03-01,257880,10745,2
2019-04-01,203231,6774,3
2019-05-01,236313,7877,3
2019-06-01,198506,8631,3
2019-07-01,217500,7016,5
2019-08-01,210655,8102,2
2019-09-01,198180,7622,4
2019-10-01,142235,7112,5
2019-11-01,125043,8336,2
2019-12-01,37518,12506,1
2020-05-01,0,0,2
2020-06-01,0,0,5
2020-07-01,0,0,4
2020-08-01,31956,1065,3
2020-09-01,0,0,5
2020-10-01,37675,1794,7
2020-11-01,17009,5670,0
2021-02-01,15381,3845,1
2021-03-01,70500,2203,5
2021-04-01,69581,1881,5
2021-05-01,74763,2266,3
2021-06-01,8993,1799,0
2021-07-01,6643,738,2
2021-08-01,41487,1152,4
2021-09-01,32034,1186,6
2021-10-01,30258,1441,2
2021-11-01,62384,3466,1
2021-12-01,32449,5408,0
2022-02-01,52370,4364,2
2022-03-01,75978,3166,3
2022-04-01,69910,3884,1
2022-05-01,192197,5339,4
2022-06-01,92421,5135,3
2022-07-01,130793,4360,3
2022-08-01,145775,4859,3
2022-09-01,146521,4884,5
2022-10-01,193096,6437,4
2023-02-01,101632,16939,3
2023-03-01,172558,9587,0
2023-04-01,344978,9583,3
2023-05-01,309937,10331,4
2023-06-01,248346,10348,4
2023-07-01,292252,9742,4
2023-08-01,267906,11163,1
2023-09-01,267080,12140,4
2023-10-01,217416,10871,1
2023-11-01,140543,11712,4
2023-12-01,84499,14083,1
2024-03-01,341799,14242,5
2024-04-01,297552,9598,1
2024-05-01,346383,9897,2
2024-06-01,297609,9920,3
2024-07-01,286863,9562,4
2024-08-01,241733,12087,2
2024-09-01,266129,12097,1
2024-10-01,182998,10167,2
2024-11-01,247519,13751,0
