년월,평균기온(℃),평균최저기온(℃),평균최고기온(℃),평균 강수량(mm),미세먼지,관중수,경기당 관중수,더비매치 수
"			2018-03",7.9,2.1,14.1,114.075,49,176387,8018,4
"			2018-04",13.1,7,19.5,125.2125,56,151995,4000,3
"			2018-05",17.7,12.4,23.3,131.075,43,135081,5628,3
"			2018-07",26.6,22.6,31.5,153.8875,28,180025,5001,4
"			2018-08",27.1,23.1,32.1,294.3375,24,167477,4785,2
"			2018-09",20.2,15.9,25.1,140.975,24,198168,6393,4
"			2018-10",12.7,7.5,19,161.45,33,102095,5672,1
"			2018-11",7.7,2.6,14.2,54.425,56,83228,4624,2
"			2018-12",0.8,-3.9,6.1,37.775,45,46864,7811,1
"			2019-03",7.2,1.3,13.6,39.2875,62,257880,10745,2
"			2019-04",11.7,5.9,17.9,73.35,42,203231,6774,3
"			2019-05",18.4,11.5,25.4,41.475,50,236313,7877,3
"			2019-06",21.2,16.5,26.7,146.1375,33,198506,8631,3
"			2019-07",24.7,21.3,28.9,250.6625,27,217500,7016,5
"			2019-08",26,22.1,30.8,161.55,28,210655,8102,2
"			2019-09",21.5,17.8,26.3,261.65,25,198180,7622,4
"			2019-10",15.5,10.7,21.3,121.55,32,142235,7112,5
"			2019-11",8.4,3.1,14.9,50.85,41,125043,8336,2
"			2019-12",2.5,-2.1,7.8,34.125,39,37518,12506,1
"			2020-05",17.6,12.6,23.1,72.425,34,0,0,2
"			2020-06",22.7,18.2,28,195.7875,34,0,0,5
"			2020-07",22.5,19.6,26.2,439.225,20,0,0,4
"			2020-08",26.4,23.5,30.5,374.325,24,31956,1065,3
"			2020-09",20.1,16.3,24.9,211.625,22,0,0,5
"			2020-10",13.7,8.3,20,15.175,34,37675,1794,7
"			2020-11",8.5,3.4,14.2,53.5125,38,17009,5670,0
"			2021-02",3.4,-2.2,9.4,23.975,43,15381,3845,1
"			2021-03",8.7,3.1,14.8,104.7375,65,70500,2203,5
"			2021-04",13.2,7.3,19.3,75.7625,41,69581,1881,5
"			2021-05",16.6,11.4,22.2,142.775,52,74763,2266,3
"			2021-06",21.7,17.5,26.7,113.1,32,8993,1799,0
"			2021-07",26,22.2,30.8,206.125,22,6643,738,2
"			2021-08",24.8,21.5,29.2,329.175,21,41487,1152,4
"			2021-09",21.3,17.7,25.8,180.9,17,32034,1186,6
"			2021-10",15.1,10.4,21.2,40.4375,27,30258,1441,2
"			2021-11",8.3,3.3,14.5,59.8375,40,62384,3466,1
"			2021-12",1.9,-3.1,7.4,8.175,36,32449,5408,0
"			2022-02",-0.1,-5.4,5.7,4.8375,37,52370,4364,2
"			2022-03",7.7,2,13.7,83.4375,42,75978,3166,3
"			2022-04",13.8,7.5,20.4,66.2875,39,69910,3884,1
"			2022-05",18,11.5,24.6,6.575,33,192197,5339,4
"			2022-06",22.4,18.3,27.2,185.7625,22,92421,5135,3
"			2022-07",25.9,22.5,30.3,169.2875,22,130793,4360,3
"			2022-08",25.3,22.1,29.1,323.8625,19,145775,4859,3
"			2022-09",21,16.6,26.3,168.9,22,146521,4884,5
"			2022-10",14,8.9,20.1,56.8,26,193096,6437,4
"			2023-02",2.5,-2.8,8.5,21.9125,43,101632,16939,3
"			2023-03",9.4,2.7,16.5,36.5875,64,172558,9587,0
"			2023-04",13.1,7.1,19.1,64.875,65,344978,9583,3
"			2023-05",17.9,12.4,23.6,209.775,37,309937,10331,4
"			2023-06",22.3,18,27.5,164.525,26,248346,10348,4
"			2023-07",25.5,22.4,29.6,485.3125,24,292252,9742,4
"			2023-08",26.4,22.9,30.9,299.475,22,267906,11163,1
"			2023-09",22.6,19,27.1,198.1,21,267080,12140,4
"			2023-10",14.7,9.6,21.1,16.05,28,217416,10871,1
"			2023-11",7.9,2.9,13.5,54.975,29,140543,11712,4
"			2023-12",2.4,-2.1,7.3,102.9,35,84499,14083,1
"			2024-03",6.9,1.4,12.6,67.225,45,341799,14242,5
"			2024-04",14.9,9.4,21.1,70.1625,50,297552,9598,1
"			2024-05",17.7,11.8,24,101.075,30,346383,9897,2
"			2024-06",22.7,17.5,28.4,133.1125,29,297609,9920,3
"			2024-07",26.2,23.3,29.9,360.425,19,286863,9562,4
"			2024-08",27.9,24.1,33,89.6,22,241733,12087,2
"			2024-09",24.7,20.9,29.6,198.925,18,266129,12097,1
"			2024-10",16.1,11.9,21.4,119.8375,23,182998,10167,2
"			2024-11",9.7,4.9,15.6,92.9875,26,247519,13751,0
"			",,,,,,,,
